round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset
1,2.30608637046814,0.1131,0.04550795095897383,0.48038201614838344,0.9642,16865680,16865680,1143.574866771698,5,mnist
2,0.1652205320596695,0.9642,0.9644859245597839,0.9993745445475108,0.9848,16865680,33731360,1143.574866771698,5,mnist
3,0.04344742796551436,0.9848,0.9847504088977275,0.9998843092343975,0.9881,16865680,50597040,1143.574866771698,5,mnist
4,0.03522104028267786,0.9881,0.9880195444801487,0.9999337343888006,0.9899,16865680,67462720,1143.574866771698,5,mnist
5,0.029025078050605953,0.9899,0.9898365172443844,0.9999478000961878,0.9915,16865680,84328400,1143.574866771698,5,mnist
6,0.02571031486685388,0.9915,0.9913850277024979,0.9999557542575042,0.0,16865680,101194080,1143.574866771698,5,mnist
