round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset
1,2.3058020435333253,0.0621,0.03896891247623273,0.5101114016434856,0.9281,50597040,50597040,644.9705944061279,15,mnist
2,0.30573614478111266,0.9281,0.9257554266041662,0.9973468643540547,0.9784,50597040,101194080,644.9705944061279,15,mnist
3,0.07528334302008152,0.9784,0.9783628021844539,0.9996280522566969,0.9815,50597040,151791120,644.9705944061279,15,mnist
4,0.05578122644014657,0.9815,0.9814481984303421,0.9997938772853304,0.9848,50597040,202388160,644.9705944061279,15,mnist
5,0.04524579381160438,0.9848,0.9847355110500002,0.9998712299720974,0.9869,50597040,252985200,644.9705944061279,15,mnist
6,0.03890506722480059,0.9869,0.9868107371491132,0.9999031686228183,0.0,50597040,303582240,644.9705944061279,15,mnist
