round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset
1,2.3045233200073243,0.1189,0.04519901783279625,0.5147645444444444,0.7809,50597040,50597040,866.1454975605011,15,fashion_mnist
2,0.6282067464828491,0.7809,0.7811605898531303,0.9773897888888889,0.8485,50597040,101194080,866.1454975605011,15,fashion_mnist
3,0.4246707807064056,0.8485,0.8469642194054815,0.9844748944444444,0.8651,50597040,151791120,866.1454975605011,15,fashion_mnist
4,0.3733873508453369,0.8651,0.8633702974182812,0.987448088888889,0.8733,50597040,202388160,866.1454975605011,15,fashion_mnist
5,0.3475321333885193,0.8733,0.8734989615543304,0.9890352111111111,0.884,50597040,252985200,866.1454975605011,15,fashion_mnist
6,0.32496086530685425,0.884,0.8829888565607382,0.9902305666666666,0.0,50597040,303582240,866.1454975605011,15,fashion_mnist
