round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset
1,2.304089963912964,0.112,0.03735344466874208,0.49783825000000004,0.8346,16865680,16865680,680.030615568161,5,fashion_mnist
2,0.4984085509777069,0.8346,0.8376221488007154,0.9845578666666667,0.8795,16865680,33731360,680.030615568161,5,fashion_mnist
3,0.3429926428794861,0.8795,0.8791682792297844,0.9895919666666668,0.8891,16865680,50597040,680.030615568161,5,fashion_mnist
4,0.30184787821769715,0.8891,0.889114608744433,0.9914782888888889,0.8998,16865680,67462720,680.030615568161,5,fashion_mnist
5,0.2774732816696167,0.8998,0.8987129327614717,0.9927211222222223,0.9017,16865680,84328400,680.030615568161,5,fashion_mnist
6,0.2680056613445282,0.9017,0.9012891800970355,0.9932969277777779,0.0,16865680,101194080,680.030615568161,5,fashion_mnist
