proximal_mu,final_acc_mean,final_acc_std,best_acc_mean,best_acc_std,final_f1_mean,final_f1_std,final_auc_mean,final_auc_std,final_worst_mean,final_worst_std,Final Acc,Best Acc,F1 Score,AUC,Worst-client Acc
0.001,0.6149,0.025466972074957534,0.62165,0.018043373668284245,0.6055005268760532,0.028446146901745753,0.929769715277778,0.006562241300313952,0.619975,0.02072508544413432,0.6149 ± 0.0255,0.6217 ± 0.0180,0.6055 ± 0.0284,0.9298 ± 0.0066,0.6200 ± 0.0207
0.01,0.619675,0.031365732362989236,0.620225,0.03191701479357576,0.6083120090787888,0.04241388440182554,0.929942548611111,0.011083350998792455,0.61895,0.03147109785183855,0.6197 ± 0.0314,0.6202 ± 0.0319,0.6083 ± 0.0424,0.9299 ± 0.0111,0.6190 ± 0.0315
0.1,0.567975,0.014415587628212236,0.567975,0.014415587628212236,0.5429547414233425,0.01617538141460889,0.926261925,0.005227888956704402,0.570575,0.014157536273424615,0.5680 ± 0.0144,0.5680 ± 0.0144,0.5430 ± 0.0162,0.9263 ± 0.0052,0.5706 ± 0.0142
