proximal_mu,Final Acc,Best Acc,F1 Score,AUC,Worst-client Acc
0.001,0.6871 ± 0.0198,0.6971 ± 0.0192,0.6862 ± 0.0201,0.9454 ± 0.0065,0.6911 ± 0.0180
0.01,0.6906 ± 0.0515,0.6962 ± 0.0494,0.6902 ± 0.0518,0.9469 ± 0.0169,0.6936 ± 0.0503
0.1,0.6295 ± 0.0273,0.6378 ± 0.0216,0.6263 ± 0.0266,0.9313 ± 0.0084,0.6289 ± 0.0286
