round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,local_epochs
1,2.305216896820068,0.0983,0.041222300281159176,0.5004309611111111,0.0,33777440,33777440,1199.605455160141,10,cifar10,label,0.1,5
2,2.300859317779541,0.2389,0.12514872918720038,0.7668725444444444,0.0,33777440,67554880,1199.605455160141,10,cifar10,label,0.1,5
3,2.476110209274292,0.2845,0.1687084959610166,0.8335376277777777,0.0,33777440,101332320,1199.605455160141,10,cifar10,label,0.1,5
4,2.3426652729034423,0.3297,0.2330788645526642,0.8605559222222222,0.0,33777440,135109760,1199.605455160141,10,cifar10,label,0.1,5
5,2.2237902008056643,0.3942,0.31588808945855007,0.8802295722222222,0.0,33777440,168887200,1199.605455160141,10,cifar10,label,0.1,5
6,2.5332168983459473,0.4094,0.33607050706342023,0.8816268777777779,0.0,33777440,202664640,1199.605455160141,10,cifar10,label,0.1,5
