round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,proximal_mu,local_epochs,batch_size
1,2.3073544425964356,0.0916,0.03951288345529255,0.4897040611111111,0.5462,33777440,33777440,1256.9849388599396,10,cifar10,quantity,0.1,0.01,1,64
2,1.398731224822998,0.5462,0.539419946225482,0.9054945944444445,0.6067,33777440,67554880,1256.9849388599396,10,cifar10,quantity,0.1,0.01,1,64
3,1.1250049924850465,0.6067,0.596664146495341,0.9309400611111112,0.6688,33777440,101332320,1256.9849388599396,10,cifar10,quantity,0.1,0.01,1,64
4,0.9542557887077332,0.6688,0.6678179665595204,0.9452246333333333,0.6792,33777440,135109760,1256.9849388599396,10,cifar10,quantity,0.1,0.01,1,64
5,0.9162406090736389,0.6792,0.6758446308689301,0.9500713666666668,0.6941,33777440,168887200,1256.9849388599396,10,cifar10,quantity,0.1,0.01,1,64
6,0.8811347217559814,0.6941,0.6948618046336156,0.9537598166666668,0.0,33777440,202664640,1256.9849388599396,10,cifar10,quantity,0.1,0.01,1,64
