round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,local_epochs
1,2.3071450721740723,0.0994,0.03998560394566491,0.4965246722222222,0.0,33777440,33777440,770.519181728363,10,cifar10,quantity,0.3,1
2,1.6076385774612427,0.4728,0.4502961142753345,0.8817865444444445,0.0,33777440,67554880,770.519181728363,10,cifar10,quantity,0.3,1
3,1.1615120244979857,0.5955,0.5868261503653212,0.9234147,0.0,33777440,101332320,770.519181728363,10,cifar10,quantity,0.3,1
4,1.009662324142456,0.6484,0.6460447750265498,0.9397124555555557,0.0,33777440,135109760,770.519181728363,10,cifar10,quantity,0.3,1
5,0.9516823721885681,0.6719,0.669037281574935,0.9463386444444446,0.0,33777440,168887200,770.519181728363,10,cifar10,quantity,0.3,1
6,0.8955604529380798,0.6953,0.6930235464543155,0.9515039777777778,0.0,33777440,202664640,770.519181728363,10,cifar10,quantity,0.3,1
