round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,local_epochs
1,2.3026754837036134,0.0754,0.03724628843104234,0.5084015611111111,0.422,33777440,33777440,1018.3530707359314,10,cifar10,quantity,0.3,10
2,2.275924162864685,0.422,0.37710818932884704,0.8773105055555556,0.5322,33777440,67554880,1018.3530707359314,10,cifar10,quantity,0.3,10
3,1.6352824756622315,0.5322,0.5322600073819662,0.9147786166666666,0.5863,33777440,101332320,1018.3530707359314,10,cifar10,quantity,0.3,10
4,2.2739390033721922,0.5863,0.5788397636987053,0.9251156277777778,0.6074,33777440,135109760,1018.3530707359314,10,cifar10,quantity,0.3,10
5,1.8938962228775025,0.6074,0.605372385728991,0.9298943888888888,0.5984,33777440,168887200,1018.3530707359314,10,cifar10,quantity,0.3,10
6,2.4590612424850464,0.5984,0.5947610182577987,0.9277139555555556,0.0,33777440,202664640,1018.3530707359314,10,cifar10,quantity,0.3,10
