round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,local_epochs
1,2.3043875701904297,0.1093,0.05423346179397863,0.5155300944444445,0.0,33777440,33777440,6400.210985660553,10,cifar10,quantity,0.1,10
2,0.8334143310546875,0.712,0.7112322938128968,0.9600823333333335,0.0,33777440,67554880,6400.210985660553,10,cifar10,quantity,0.1,10
3,1.177599370956421,0.7355,0.7350440821690769,0.9627982944444445,0.0,33777440,101332320,6400.210985660553,10,cifar10,quantity,0.1,10
4,1.6362133947372437,0.7335,0.7340204565913014,0.9612585444444445,0.0,33777440,135109760,6400.210985660553,10,cifar10,quantity,0.1,10
5,1.8940740606307984,0.7295,0.7288691976476588,0.958999,0.0,33777440,168887200,6400.210985660553,10,cifar10,quantity,0.1,10
6,2.0179714339256285,0.7309,0.7316319287968434,0.9591853611111111,0.0,33777440,202664640,6400.210985660553,10,cifar10,quantity,0.1,10
