round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,proximal_mu,local_epochs,batch_size
1,2.304188061141968,0.1006,0.019936095278758333,0.5035486555555555,0.6022,33777440,33777440,5219.876079082489,10,cifar10,quantity,0.1,0.01,5,64
2,1.2679337539672852,0.6022,0.595991863030892,0.930529711111111,0.7099,33777440,67554880,5219.876079082489,10,cifar10,quantity,0.1,0.01,5,64
3,0.846206985282898,0.7099,0.7084293299049628,0.9567466999999998,0.7405,33777440,101332320,5219.876079082489,10,cifar10,quantity,0.1,0.01,5,64
4,0.7595307767868043,0.7405,0.7371396115638451,0.9639345944444443,0.7476,33777440,135109760,5219.876079082489,10,cifar10,quantity,0.1,0.01,5,64
5,0.7316982590675354,0.7476,0.7471191331244087,0.9668950555555555,0.7549,33777440,168887200,5219.876079082489,10,cifar10,quantity,0.1,0.01,5,64
6,0.7107360211372376,0.7549,0.752950654492772,0.9685686555555556,0.0,33777440,202664640,5219.876079082489,10,cifar10,quantity,0.1,0.01,5,64
