round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,local_epochs
1,2.306251998901367,0.0912,0.03466293599517642,0.473851611111111,0.3263,33777440,33777440,1193.8226912021637,10,cifar10,label,0.1,10
2,2.0182474349975585,0.3263,0.22194434950411684,0.8302023888888888,0.4742,33777440,67554880,1193.8226912021637,10,cifar10,label,0.1,10
3,2.320481056594849,0.4742,0.40375708832018836,0.9007603555555554,0.4992,33777440,101332320,1193.8226912021637,10,cifar10,label,0.1,10
4,2.00080290184021,0.4992,0.4496414726075951,0.9085188388888887,0.5302,33777440,135109760,1193.8226912021637,10,cifar10,label,0.1,10
5,2.3117781436920164,0.5302,0.4845398568242598,0.9200535166666667,0.5502,33777440,168887200,1193.8226912021637,10,cifar10,label,0.1,10
6,2.2173208038330077,0.5502,0.5140974703907446,0.9240532611111112,0.0,33777440,202664640,1193.8226912021637,10,cifar10,label,0.1,10
