round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,local_epochs
1,2.302320560836792,0.0963,0.02177223276882477,0.5463785333333334,0.0,33777440,33777440,1176.0092043876648,10,cifar10,quantity,0.1,1
2,1.7796816246032714,0.3826,0.36066512806883505,0.8299944166666668,0.0,33777440,67554880,1176.0092043876648,10,cifar10,quantity,0.1,1
3,1.5671154331207275,0.4255,0.4033285299300563,0.8644365777777777,0.0,33777440,101332320,1176.0092043876648,10,cifar10,quantity,0.1,1
4,1.5100468839645387,0.4469,0.41465945704806667,0.87488335,0.0,33777440,135109760,1176.0092043876648,10,cifar10,quantity,0.1,1
5,1.4350008918762207,0.4861,0.4666963109130802,0.8841012166666667,0.0,33777440,168887200,1176.0092043876648,10,cifar10,quantity,0.1,1
6,1.372946117401123,0.5161,0.5196534366151947,0.8924653333333332,0.0,33777440,202664640,1176.0092043876648,10,cifar10,quantity,0.1,1
