round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,local_epochs
1,2.31248338470459,0.0971,0.02005543766216652,0.4522599222222222,0.3541,33777440,33777440,1810.3753979206085,10,cifar10,quantity,0.1,10
2,23.397446337890624,0.3541,0.29246712609398146,0.8369765055555556,0.1262,33777440,67554880,1810.3753979206085,10,cifar10,quantity,0.1,10
3,39.37600387573242,0.1262,0.06627330462335738,0.5814616,0.1344,33777440,101332320,1810.3753979206085,10,cifar10,quantity,0.1,10
4,287.6910717285156,0.1344,0.06223189327661861,0.5426452666666666,0.101,33777440,135109760,1810.3753979206085,10,cifar10,quantity,0.1,10
5,148.28378159179687,0.101,0.020178187351180005,0.5251263500000001,0.1056,33777440,168887200,1810.3753979206085,10,cifar10,quantity,0.1,10
6,172.47558857421876,0.1056,0.0309936015888298,0.5131254222222222,0.0,33777440,202664640,1810.3753979206085,10,cifar10,quantity,0.1,10
