skew,K,E,alpha,Final Accuracy,Best Accuracy,Final F1,Best F1,Final AUC,Best AUC,Worst Client
label,10,5,0.1,0.5209 ± 0.0326,0.5389 ± 0.0502,0.4775 ± 0.0470,0.4994 ± 0.0694,0.8916 ± 0.0253,0.8966 ± 0.0268,0.5097 ± 0.0656
label,25,5,0.1,0.4861 ± 0.0945,0.5434 ± 0.0614,0.4615 ± 0.1099,0.5226 ± 0.0765,0.8947 ± 0.0333,0.9125 ± 0.0169,0.4929 ± 0.1268
label,35,5,0.1,0.5306 ± 0.0633,0.5442 ± 0.0487,0.5168 ± 0.0532,0.5258 ± 0.0469,0.9173 ± 0.0108,0.9204 ± 0.0087,0.5290 ± 0.0675
quantity,10,5,0.1,0.5939 ± 0.1865,0.6345 ± 0.1371,0.5831 ± 0.1970,0.6275 ± 0.1449,0.9153 ± 0.0624,0.9278 ± 0.0452,0.6202 ± 0.1358
quantity,25,5,0.1,0.1158 ± 0.0240,0.3321 ± 0.0873,0.0434 ± 0.0415,0.2744 ± 0.1024,0.5400 ± 0.0668,0.8068 ± 0.0524,0.1112 ± 0.0188
quantity,35,5,0.1,0.2310 ± 0.1077,0.3409 ± 0.0894,0.1639 ± 0.1217,0.2943 ± 0.1107,0.6752 ± 0.1240,0.7766 ± 0.1082,0.1978 ± 0.0766
