round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,local_epochs,seed
1,2.29947508392334,0.1045,0.036501414715106956,0.5703879277777778,0.1984,84443600,84443600,3516.657899618149,25,cifar10,label,0.1,5,46
2,2.4391395004272463,0.1984,0.09429173444680632,0.7329310777777778,0.3188,84443600,168887200,3516.657899618149,25,cifar10,label,0.1,5,46
3,2.0426429107666015,0.3188,0.24599534507596482,0.8435681777777779,0.4161,84443600,253330800,3516.657899618149,25,cifar10,label,0.1,5,46
4,1.8320880046844483,0.4161,0.37044327787166587,0.8722295833333333,0.446,84443600,337774400,3516.657899618149,25,cifar10,label,0.1,5,46
5,1.799004296875,0.446,0.41425205359838096,0.8833222611111111,0.4602,84443600,422218000,3516.657899618149,25,cifar10,label,0.1,5,46
6,1.970237826538086,0.4602,0.4112368804982004,0.8812929111111112,0.4545,84443600,506661600,3516.657899618149,25,cifar10,label,0.1,5,46
7,2.125277752685547,0.4545,0.42237739875358715,0.8849289222222222,0.4637,84443600,591105200,3516.657899618149,25,cifar10,label,0.1,5,46
8,2.141408338165283,0.4637,0.4129968962612865,0.8880337333333334,0.415,84443600,675548800,3516.657899618149,25,cifar10,label,0.1,5,46
9,2.769554235839844,0.415,0.389531301671526,0.8752821888888889,0.4493,84443600,759992400,3516.657899618149,25,cifar10,label,0.1,5,46
10,2.5929069107055662,0.4493,0.39290994444849436,0.8842849833333333,0.3978,84443600,844436000,3516.657899618149,25,cifar10,label,0.1,5,46
11,3.357619128036499,0.3978,0.37131339077326403,0.8746722055555555,0.4429,84443600,928879600,3516.657899618149,25,cifar10,label,0.1,5,46
12,2.989866150665283,0.4429,0.38112962294582925,0.8821069722222223,0.394,84443600,1013323200,3516.657899618149,25,cifar10,label,0.1,5,46
13,3.5995889057159425,0.394,0.3637025454709829,0.8743897555555555,0.4347,84443600,1097766800,3516.657899618149,25,cifar10,label,0.1,5,46
14,3.2795970962524414,0.4347,0.37504712398618495,0.8802785444444445,0.4071,84443600,1182210400,3516.657899618149,25,cifar10,label,0.1,5,46
15,3.4693397106170654,0.4071,0.37892821433991974,0.8809075555555556,0.44,84443600,1266654000,3516.657899618149,25,cifar10,label,0.1,5,46
16,3.4224338706970214,0.44,0.38454153356212195,0.8842976722222222,0.4125,84443600,1351097600,3516.657899618149,25,cifar10,label,0.1,5,46
17,3.6873384181976316,0.4125,0.3853962029533015,0.8843719388888889,0.4439,84443600,1435541200,3516.657899618149,25,cifar10,label,0.1,5,46
18,3.568542674255371,0.4439,0.3893165993569714,0.8842714833333334,0.3895,84443600,1519984800,3516.657899618149,25,cifar10,label,0.1,5,46
19,4.399929856872559,0.3895,0.3594190509047276,0.8818374555555554,0.4353,84443600,1604428400,3516.657899618149,25,cifar10,label,0.1,5,46
20,3.5072560417175294,0.4353,0.3865034771948338,0.8788253111111113,0.4005,84443600,1688872000,3516.657899618149,25,cifar10,label,0.1,5,46
21,4.344580096435547,0.4005,0.37735140033289893,0.8831127444444444,0.4463,84443600,1773315600,3516.657899618149,25,cifar10,label,0.1,5,46
22,3.372642587280273,0.4463,0.4025987657415276,0.8789922111111113,0.3739,84443600,1857759200,3516.657899618149,25,cifar10,label,0.1,5,46
23,5.631543330383301,0.3739,0.34784074169776147,0.87607935,0.4406,84443600,1942202800,3516.657899618149,25,cifar10,label,0.1,5,46
24,3.4970112564086913,0.4406,0.39930645618325816,0.8775478388888889,0.3562,84443600,2026646400,3516.657899618149,25,cifar10,label,0.1,5,46
25,6.874561534118652,0.3562,0.32669488552009357,0.8669660055555555,0.4312,84443600,2111090000,3516.657899618149,25,cifar10,label,0.1,5,46
26,3.465114111328125,0.4312,0.39458006946957547,0.8737490333333333,0.3512,84443600,2195533600,3516.657899618149,25,cifar10,label,0.1,5,46
27,6.700358267211914,0.3512,0.3270928028486144,0.8626853444444444,0.4137,84443600,2279977200,3516.657899618149,25,cifar10,label,0.1,5,46
28,3.8710670455932616,0.4137,0.38096895131820246,0.8660601222222223,0.3342,84443600,2364420800,3516.657899618149,25,cifar10,label,0.1,5,46
29,7.372782196044922,0.3342,0.31339721477013915,0.8549011666666665,0.3755,84443600,2448864400,3516.657899618149,25,cifar10,label,0.1,5,46
30,4.594978525543213,0.3755,0.35002080856023376,0.8477202611111112,0.3049,84443600,2533308000,3516.657899618149,25,cifar10,label,0.1,5,46
31,8.855767007446289,0.3049,0.2842156497932087,0.843440461111111,0.0,84443600,2617751600,3516.657899618149,25,cifar10,label,0.1,5,46
