skew,K,E,alpha,final_acc_mean,final_acc_std,best_acc_mean,best_acc_std,final_f1_mean,final_f1_std,best_f1_mean,best_f1_std,final_auc_mean,final_auc_std,best_auc_mean,best_auc_std,worst_mean,worst_std
label,10,5,0.1,0.509725,0.06555000000000005,0.53905,0.04986384795955216,0.467477440780399,0.08296230213959235,0.4994317656946383,0.06943825137695193,0.8846703694444445,0.032703680772612105,0.8965826861111111,0.02677922101051422,0.0,0.0
label,25,5,0.1,0.492925,0.12676840760483923,0.546575,0.06108722588779644,0.4757399085315273,0.13014289038481147,0.5264830171073562,0.07658377668816323,0.8984505930555555,0.03727171735461564,0.9125330333333332,0.016913099326203402,0.0,0.0
label,35,5,0.1,0.529025,0.06747949688609123,0.5442750000000001,0.048915530935140276,0.5123612582295763,0.05983448971841096,0.5260908870624681,0.04748380686936907,0.9181454402777777,0.010906386467191444,0.920461936111111,0.008684986164358146,0.0,0.0
quantity,10,5,0.1,0.6201749999999999,0.13576438843329522,0.6372,0.13541346560319129,0.614105861899099,0.14246217316156395,0.632573226553518,0.1416355213130624,0.9230609361111111,0.04933744605866103,0.9291727375,0.04466543386962807,0.0,0.0
quantity,25,5,0.1,0.11120000000000001,0.018755132630829348,0.33212,0.08728463209523198,0.034890272786923957,0.027257463067058646,0.27436773638145556,0.10235448534470391,0.5243695611111111,0.0415280594574646,0.8068079988888888,0.05236116410573715,0.0,0.0
quantity,35,5,0.1,0.1978,0.07658803213731678,0.3409,0.08938198923720594,0.1364178600157016,0.08847150478181895,0.29432129226273773,0.11069286470905869,0.6785473194444445,0.12361081190780139,0.7766109,0.10818653807057013,0.0,0.0
