round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,local_epochs,seed
1,2.29947508392334,0.1045,0.036501414715106956,0.5703879277777778,0.3236,118221040,118221040,5716.919717073441,35,cifar10,quantity,0.1,10,46
2,85.46613857421875,0.3236,0.266349003158436,0.7254025222222221,0.0874,118221040,236442080,5716.919717073441,35,cifar10,quantity,0.1,10,46
3,38.5596564453125,0.0874,0.0285685476932954,0.4895770388888888,0.1,118221040,354663120,5716.919717073441,35,cifar10,quantity,0.1,10,46
4,302.70338466796875,0.1,0.01818181818181818,0.4838397166666667,0.1,118221040,472884160,5716.919717073441,35,cifar10,quantity,0.1,10,46
5,144.76793671875,0.1,0.01818181818181818,0.5317568944444445,0.1003,118221040,591105200,5716.919717073441,35,cifar10,quantity,0.1,10,46
6,61.379577258300785,0.1003,0.020511797727411733,0.5154879555555556,0.1,118221040,709326240,5716.919717073441,35,cifar10,quantity,0.1,10,46
7,2.4158700271606444,0.1,0.01818512456810329,0.4999444444444445,0.1,118221040,827547280,5716.919717073441,35,cifar10,quantity,0.1,10,46
8,2.3051775314331056,0.1,0.018183471224656786,0.5000444444444444,0.19,118221040,945768320,5716.919717073441,35,cifar10,quantity,0.1,10,46
9,2.0983901752471925,0.19,0.11295694914449303,0.7268837055555556,0.1298,118221040,1063989360,5716.919717073441,35,cifar10,quantity,0.1,10,46
10,82.36739627685547,0.1298,0.04312115977493366,0.6005600833333333,0.1,118221040,1182210400,5716.919717073441,35,cifar10,quantity,0.1,10,46
11,140.2294768798828,0.1,0.01818181818181818,0.5088492277777777,0.1087,118221040,1300431440,5716.919717073441,35,cifar10,quantity,0.1,10,46
12,39.46759732055664,0.1087,0.036087744165422306,0.5043435833333334,0.1002,118221040,1418652480,5716.919717073441,35,cifar10,quantity,0.1,10,46
13,3.0150818622589113,0.1002,0.01860719010548539,0.5002565,0.1094,118221040,1536873520,5716.919717073441,35,cifar10,quantity,0.1,10,46
14,2.582830874633789,0.1094,0.03485246104271136,0.5279757333333334,0.1,118221040,1655094560,5716.919717073441,35,cifar10,quantity,0.1,10,46
15,100.64129575195312,0.1,0.01818181818181818,0.48420064444444433,0.1025,118221040,1773315600,5716.919717073441,35,cifar10,quantity,0.1,10,46
16,16.52123063354492,0.1025,0.0446520391605666,0.4904628166666666,0.1099,118221040,1891536640,5716.919717073441,35,cifar10,quantity,0.1,10,46
17,4.651455714416504,0.1099,0.05208062530884359,0.5269303333333333,0.1281,118221040,2009757680,5716.919717073441,35,cifar10,quantity,0.1,10,46
18,47.264826446533206,0.1281,0.07021674356954465,0.5812190111111113,0.1,118221040,2127978720,5716.919717073441,35,cifar10,quantity,0.1,10,46
19,2.8296728759765624,0.1,0.01822157434402332,0.5013458777777778,0.1619,118221040,2246199760,5716.919717073441,35,cifar10,quantity,0.1,10,46
20,2.1800680610656737,0.1619,0.06865030272368285,0.666014538888889,0.2007,118221040,2364420800,5716.919717073441,35,cifar10,quantity,0.1,10,46
21,26.49889638671875,0.2007,0.11036720572511372,0.6621375944444444,0.1,118221040,2482641840,5716.919717073441,35,cifar10,quantity,0.1,10,46
22,3.0044845809936525,0.1,0.01818181818181818,0.5,0.1,118221040,2600862880,5716.919717073441,35,cifar10,quantity,0.1,10,46
23,2.3133234115600585,0.1,0.01818181818181818,0.5,0.1,118221040,2719083920,5716.919717073441,35,cifar10,quantity,0.1,10,46
24,2.3043255241394043,0.1,0.01818181818181818,0.5,0.1,118221040,2837304960,5716.919717073441,35,cifar10,quantity,0.1,10,46
25,2.3032325386047363,0.1,0.01818181818181818,0.5,0.1,118221040,2955526000,5716.919717073441,35,cifar10,quantity,0.1,10,46
26,2.302763447570801,0.1,0.01818181818181818,0.5,0.1,118221040,3073747040,5716.919717073441,35,cifar10,quantity,0.1,10,46
27,2.3027728561401366,0.1,0.01818181818181818,0.5,0.1,118221040,3191968080,5716.919717073441,35,cifar10,quantity,0.1,10,46
28,2.302723183441162,0.1,0.01818181818181818,0.5,0.1,118221040,3310189120,5716.919717073441,35,cifar10,quantity,0.1,10,46
29,2.3027554523468017,0.1,0.01818181818181818,0.5,0.1,118221040,3428410160,5716.919717073441,35,cifar10,quantity,0.1,10,46
30,2.302730051422119,0.1,0.01818181818181818,0.5,0.1,118221040,3546631200,5716.919717073441,35,cifar10,quantity,0.1,10,46
31,2.302753581237793,0.1,0.01818181818181818,0.5,0.0,118221040,3664852240,5716.919717073441,35,cifar10,quantity,0.1,10,46
