round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,proximal_mu,local_epochs,batch_size,seed
1,2.298709703063965,0.1475,0.09507755834796576,0.55260295,0.223,118221040,118221040,4109.129928588867,35,cifar10,label,0.1,0.001,5,64,43
2,2.056257452392578,0.223,0.11721696836591584,0.8259175722222223,0.4228,118221040,236442080,4109.129928588867,35,cifar10,label,0.1,0.001,5,64,43
3,1.6381630266189575,0.4228,0.3764637192416445,0.8698019444444445,0.4402,118221040,354663120,4109.129928588867,35,cifar10,label,0.1,0.001,5,64,43
4,1.5040179405212402,0.4402,0.4105760565458394,0.8886698388888888,0.4975,118221040,472884160,4109.129928588867,35,cifar10,label,0.1,0.001,5,64,43
5,1.3703623579025268,0.4975,0.4677893712836766,0.9031734555555557,0.5203,118221040,591105200,4109.129928588867,35,cifar10,label,0.1,0.001,5,64,43
6,1.308756428718567,0.5203,0.49560611788898007,0.9110420388888889,0.5471,118221040,709326240,4109.129928588867,35,cifar10,label,0.1,0.001,5,64,43
7,1.254362635421753,0.5471,0.5269573760739931,0.91732505,0.5545,118221040,827547280,4109.129928588867,35,cifar10,label,0.1,0.001,5,64,43
8,1.2343239875793457,0.5545,0.536704267650162,0.9209774777777777,0.5718,118221040,945768320,4109.129928588867,35,cifar10,label,0.1,0.001,5,64,43
9,1.2185027656555176,0.5718,0.5563226687656259,0.9240556666666666,0.5775,118221040,1063989360,4109.129928588867,35,cifar10,label,0.1,0.001,5,64,43
10,1.2283690677642822,0.5775,0.5660874550375382,0.9256942666666665,0.5836,118221040,1182210400,4109.129928588867,35,cifar10,label,0.1,0.001,5,64,43
11,1.2344776627540588,0.5836,0.5733551014108935,0.9271021888888888,0.5896,118221040,1300431440,4109.129928588867,35,cifar10,label,0.1,0.001,5,64,43
12,1.2497377094268798,0.5896,0.5806523289476219,0.9279754555555556,0.5965,118221040,1418652480,4109.129928588867,35,cifar10,label,0.1,0.001,5,64,43
13,1.259260652256012,0.5965,0.5887504093188421,0.9290717611111111,0.5916,118221040,1536873520,4109.129928588867,35,cifar10,label,0.1,0.001,5,64,43
14,1.2904504563331605,0.5916,0.5844470599719128,0.9285279666666668,0.6012,118221040,1655094560,4109.129928588867,35,cifar10,label,0.1,0.001,5,64,43
15,1.2813112760543823,0.6012,0.594400162012714,0.9296199444444444,0.6085,118221040,1773315600,4109.129928588867,35,cifar10,label,0.1,0.001,5,64,43
16,1.2910852935791015,0.6085,0.6012772650619288,0.930883011111111,0.6076,118221040,1891536640,4109.129928588867,35,cifar10,label,0.1,0.001,5,64,43
17,1.3447875549316406,0.6076,0.6004621870883947,0.9308945222222222,0.6083,118221040,2009757680,4109.129928588867,35,cifar10,label,0.1,0.001,5,64,43
18,1.3654022626876832,0.6083,0.601466763589189,0.9307733333333333,0.6086,118221040,2127978720,4109.129928588867,35,cifar10,label,0.1,0.001,5,64,43
19,1.3766635250091552,0.6086,0.6016651699131792,0.9306482444444445,0.6148,118221040,2246199760,4109.129928588867,35,cifar10,label,0.1,0.001,5,64,43
20,1.4023668544769288,0.6148,0.6075721890959037,0.9314592111111111,0.6094,118221040,2364420800,4109.129928588867,35,cifar10,label,0.1,0.001,5,64,43
21,1.4279788276672363,0.6094,0.6036021913448727,0.9306167055555556,0.6199,118221040,2482641840,4109.129928588867,35,cifar10,label,0.1,0.001,5,64,43
22,1.4533880884170531,0.6199,0.6135161505086171,0.9320520999999999,0.6179,118221040,2600862880,4109.129928588867,35,cifar10,label,0.1,0.001,5,64,43
23,1.471896759223938,0.6179,0.6124701056509563,0.9315334611111112,0.6081,118221040,2719083920,4109.129928588867,35,cifar10,label,0.1,0.001,5,64,43
24,1.5094766979217529,0.6081,0.6008355479827822,0.9295306666666667,0.6153,118221040,2837304960,4109.129928588867,35,cifar10,label,0.1,0.001,5,64,43
25,1.5212876899719239,0.6153,0.6066944144241806,0.9305284555555557,0.6144,118221040,2955526000,4109.129928588867,35,cifar10,label,0.1,0.001,5,64,43
26,1.5216510904312133,0.6144,0.6063465943100445,0.9304881222222221,0.621,118221040,3073747040,4109.129928588867,35,cifar10,label,0.1,0.001,5,64,43
27,1.537426501083374,0.621,0.6153066488875703,0.9315645888888889,0.6146,118221040,3191968080,4109.129928588867,35,cifar10,label,0.1,0.001,5,64,43
28,1.5943799310684204,0.6146,0.607803469943447,0.9305734888888889,0.6119,118221040,3310189120,4109.129928588867,35,cifar10,label,0.1,0.001,5,64,43
29,1.6216154333114623,0.6119,0.6054088528495738,0.9291248777777777,0.6182,118221040,3428410160,4109.129928588867,35,cifar10,label,0.1,0.001,5,64,43
30,1.5957494140625,0.6182,0.609816861107732,0.9302422500000003,0.6199,118221040,3546631200,4109.129928588867,35,cifar10,label,0.1,0.001,5,64,43
31,1.6212230381011963,0.6199,0.6139435332790674,0.9303175222222222,0.0,118221040,3664852240,4109.129928588867,35,cifar10,label,0.1,0.001,5,64,43
