round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,proximal_mu,local_epochs,batch_size,seed
1,2.29947508392334,0.1045,0.036501414715106956,0.5703879277777778,0.2821,118221040,118221040,6288.520725011826,35,cifar10,label,0.1,0.01,5,64,46
2,2.1431425132751465,0.2821,0.20106641002245826,0.7956795666666666,0.3426,118221040,236442080,6288.520725011826,35,cifar10,label,0.1,0.01,5,64,46
3,1.8720174201965332,0.3426,0.2639101658815687,0.8345880722222223,0.3877,118221040,354663120,6288.520725011826,35,cifar10,label,0.1,0.01,5,64,46
4,1.741151784324646,0.3877,0.3088139085824101,0.8524929944444445,0.4112,118221040,472884160,6288.520725011826,35,cifar10,label,0.1,0.01,5,64,46
5,1.6569254722595215,0.4112,0.336374268690644,0.8650763722222223,0.4422,118221040,591105200,6288.520725011826,35,cifar10,label,0.1,0.01,5,64,46
6,1.573618314552307,0.4422,0.36823076017953915,0.8758077833333333,0.4596,118221040,709326240,6288.520725011826,35,cifar10,label,0.1,0.01,5,64,46
7,1.519821722793579,0.4596,0.39222751670544237,0.8835256888888889,0.4756,118221040,827547280,6288.520725011826,35,cifar10,label,0.1,0.01,5,64,46
8,1.4844331691741943,0.4756,0.4124953343466868,0.8888239444444445,0.4852,118221040,945768320,6288.520725011826,35,cifar10,label,0.1,0.01,5,64,46
9,1.4642539726257324,0.4852,0.426103413320073,0.8924933666666668,0.5016,118221040,1063989360,6288.520725011826,35,cifar10,label,0.1,0.01,5,64,46
10,1.4225215829849243,0.5016,0.4462326256338258,0.8968243000000001,0.5115,118221040,1182210400,6288.520725011826,35,cifar10,label,0.1,0.01,5,64,46
11,1.4093645128250123,0.5115,0.45777334321674895,0.8996766444444443,0.5188,118221040,1300431440,6288.520725011826,35,cifar10,label,0.1,0.01,5,64,46
12,1.4035776664733888,0.5188,0.46582253980446353,0.9018040944444443,0.5251,118221040,1418652480,6288.520725011826,35,cifar10,label,0.1,0.01,5,64,46
13,1.3936072425842285,0.5251,0.47386974917708347,0.9041729888888888,0.5308,118221040,1536873520,6288.520725011826,35,cifar10,label,0.1,0.01,5,64,46
14,1.3918409105300904,0.5308,0.48146182656765435,0.9056149777777778,0.5345,118221040,1655094560,6288.520725011826,35,cifar10,label,0.1,0.01,5,64,46
15,1.402596012878418,0.5345,0.4876610759399639,0.9065151333333332,0.5407,118221040,1773315600,6288.520725011826,35,cifar10,label,0.1,0.01,5,64,46
16,1.3907409496307372,0.5407,0.4960769895147946,0.9082994277777777,0.5414,118221040,1891536640,6288.520725011826,35,cifar10,label,0.1,0.01,5,64,46
17,1.416289176940918,0.5414,0.5002925449469989,0.9081595555555557,0.546,118221040,2009757680,6288.520725011826,35,cifar10,label,0.1,0.01,5,64,46
18,1.420910107421875,0.546,0.5041545480505568,0.9094531722222221,0.5527,118221040,2127978720,6288.520725011826,35,cifar10,label,0.1,0.01,5,64,46
19,1.4341111080169677,0.5527,0.5145183312735433,0.9096230944444444,0.5556,118221040,2246199760,6288.520725011826,35,cifar10,label,0.1,0.01,5,64,46
20,1.4366767618179321,0.5556,0.5186381330052017,0.9103070222222222,0.5567,118221040,2364420800,6288.520725011826,35,cifar10,label,0.1,0.01,5,64,46
21,1.4632030956268312,0.5567,0.5200876964970682,0.9104710055555556,0.5586,118221040,2482641840,6288.520725011826,35,cifar10,label,0.1,0.01,5,64,46
22,1.482633204460144,0.5586,0.5225226877882719,0.9102623111111111,0.5602,118221040,2600862880,6288.520725011826,35,cifar10,label,0.1,0.01,5,64,46
23,1.4901696853637696,0.5602,0.524646603670332,0.9113931111111111,0.5632,118221040,2719083920,6288.520725011826,35,cifar10,label,0.1,0.01,5,64,46
24,1.5010263473510743,0.5632,0.5303306118757588,0.9119032555555556,0.5655,118221040,2837304960,6288.520725011826,35,cifar10,label,0.1,0.01,5,64,46
25,1.5116097251892089,0.5655,0.5345264959414159,0.912224138888889,0.5655,118221040,2955526000,6288.520725011826,35,cifar10,label,0.1,0.01,5,64,46
26,1.5237896919250489,0.5655,0.5339660401457544,0.9125550611111113,0.5708,118221040,3073747040,6288.520725011826,35,cifar10,label,0.1,0.01,5,64,46
27,1.5332272029876708,0.5708,0.5417435946129385,0.9126289222222222,0.5714,118221040,3191968080,6288.520725011826,35,cifar10,label,0.1,0.01,5,64,46
28,1.5403416664123535,0.5714,0.5429451160789138,0.9129847555555557,0.5738,118221040,3310189120,6288.520725011826,35,cifar10,label,0.1,0.01,5,64,46
29,1.5438818431854249,0.5738,0.5469455152302787,0.9131914833333333,0.5758,118221040,3428410160,6288.520725011826,35,cifar10,label,0.1,0.01,5,64,46
30,1.5586323505401611,0.5758,0.5492733186371794,0.9134640055555556,0.5752,118221040,3546631200,6288.520725011826,35,cifar10,label,0.1,0.01,5,64,46
31,1.5728362354278564,0.5752,0.5479408068131393,0.913493388888889,0.0,118221040,3664852240,6288.520725011826,35,cifar10,label,0.1,0.01,5,64,46
