round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,local_epochs,seed
1,2.301845955276489,0.0893,0.04861367622650547,0.5350526888888889,0.1715,118221040,118221040,3092.2544281482697,35,cifar10,label,0.1,1,44
2,2.298012945175171,0.1715,0.1080407314817691,0.6844192444444444,0.2223,118221040,236442080,3092.2544281482697,35,cifar10,label,0.1,1,44
3,2.1685570671081544,0.2223,0.14478292366202145,0.728950038888889,0.2696,118221040,354663120,3092.2544281482697,35,cifar10,label,0.1,1,44
4,2.135538216781616,0.2696,0.21662714895021332,0.7423472111111111,0.2826,118221040,472884160,3092.2544281482697,35,cifar10,label,0.1,1,44
5,2.020392653274536,0.2826,0.23313500898297437,0.78436935,0.2865,118221040,591105200,3092.2544281482697,35,cifar10,label,0.1,1,44
6,2.0963925354003905,0.2865,0.233558612933863,0.7749503055555556,0.2976,118221040,709326240,3092.2544281482697,35,cifar10,label,0.1,1,44
7,1.9694542934417725,0.2976,0.2569540003536175,0.8010281111111113,0.3036,118221040,827547280,3092.2544281482697,35,cifar10,label,0.1,1,44
8,2.0656323135375976,0.3036,0.2517952141386447,0.7951059111111112,0.3005,118221040,945768320,3092.2544281482697,35,cifar10,label,0.1,1,44
9,1.985550143814087,0.3005,0.2627601240231339,0.8069191722222222,0.3188,118221040,1063989360,3092.2544281482697,35,cifar10,label,0.1,1,44
10,2.0467802474975585,0.3188,0.27097346445604387,0.8078993722222222,0.3096,118221040,1182210400,3092.2544281482697,35,cifar10,label,0.1,1,44
11,1.9563796760559082,0.3096,0.2733470563733254,0.8184424,0.3293,118221040,1300431440,3092.2544281482697,35,cifar10,label,0.1,1,44
12,2.016311828613281,0.3293,0.28394659476224515,0.8191597722222224,0.3403,118221040,1418652480,3092.2544281482697,35,cifar10,label,0.1,1,44
13,1.887367151069641,0.3403,0.30171328515130114,0.8317566444444445,0.3461,118221040,1536873520,3092.2544281482697,35,cifar10,label,0.1,1,44
14,1.953004503250122,0.3461,0.30436675255265555,0.8307580277777777,0.3566,118221040,1655094560,3092.2544281482697,35,cifar10,label,0.1,1,44
15,1.8370476016998292,0.3566,0.3194354216076073,0.8408386999999999,0.3643,118221040,1773315600,3092.2544281482697,35,cifar10,label,0.1,1,44
16,1.9064411079406738,0.3643,0.3324279144016219,0.8392733722222223,0.3835,118221040,1891536640,3092.2544281482697,35,cifar10,label,0.1,1,44
17,1.7828730716705323,0.3835,0.34298419379705203,0.8499093,0.3784,118221040,2009757680,3092.2544281482697,35,cifar10,label,0.1,1,44
18,1.8411185638427734,0.3784,0.34710947148045734,0.8495663222222223,0.3996,118221040,2127978720,3092.2544281482697,35,cifar10,label,0.1,1,44
19,1.7400686986923217,0.3996,0.360640389283586,0.8572912722222222,0.3983,118221040,2246199760,3092.2544281482697,35,cifar10,label,0.1,1,44
20,1.7894206298828126,0.3983,0.36933659493764925,0.8572847222222222,0.4224,118221040,2364420800,3092.2544281482697,35,cifar10,label,0.1,1,44
21,1.683070129776001,0.4224,0.38526618994350464,0.8652018833333333,0.4172,118221040,2482641840,3092.2544281482697,35,cifar10,label,0.1,1,44
22,1.7347439308166503,0.4172,0.38892261226877706,0.8655147611111111,0.4411,118221040,2600862880,3092.2544281482697,35,cifar10,label,0.1,1,44
23,1.6331419906616211,0.4411,0.403396618045026,0.8720985222222222,0.4348,118221040,2719083920,3092.2544281482697,35,cifar10,label,0.1,1,44
24,1.673673466873169,0.4348,0.40694703178811065,0.8736800722222222,0.459,118221040,2837304960,3092.2544281482697,35,cifar10,label,0.1,1,44
25,1.5846015800476074,0.459,0.4208132199086763,0.8788819222222222,0.4606,118221040,2955526000,3092.2544281482697,35,cifar10,label,0.1,1,44
26,1.6081519716262818,0.4606,0.4335480463675923,0.8819681166666667,0.4759,118221040,3073747040,3092.2544281482697,35,cifar10,label,0.1,1,44
27,1.5418186840057373,0.4759,0.4351569529385505,0.8844897722222221,0.4747,118221040,3191968080,3092.2544281482697,35,cifar10,label,0.1,1,44
28,1.5657421951293946,0.4747,0.44893825413784605,0.8874216111111111,0.4899,118221040,3310189120,3092.2544281482697,35,cifar10,label,0.1,1,44
29,1.5027747455596925,0.4899,0.4502309436720183,0.8898062777777778,0.4913,118221040,3428410160,3092.2544281482697,35,cifar10,label,0.1,1,44
30,1.5225548713684083,0.4913,0.4664051677618306,0.8927031666666668,0.5024,118221040,3546631200,3092.2544281482697,35,cifar10,label,0.1,1,44
31,1.4694934185028077,0.5024,0.46122987775552693,0.8940809055555554,0.0,118221040,3664852240,3092.2544281482697,35,cifar10,label,0.1,1,44
