round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,proximal_mu,local_epochs,batch_size,seed
1,2.301845955276489,0.0893,0.04861367622650547,0.5350526888888889,0.3701,118221040,118221040,4299.633833408356,35,cifar10,label,0.5,0.01,5,64,44
2,1.8622602071762084,0.3701,0.3263267591790102,0.8455334388888888,0.4607,118221040,236442080,4299.633833408356,35,cifar10,label,0.5,0.01,5,64,44
3,1.509592552947998,0.4607,0.4162837519631147,0.8840491722222221,0.5069,118221040,354663120,4299.633833408356,35,cifar10,label,0.5,0.01,5,64,44
4,1.3578299993515015,0.5069,0.4644440182418954,0.9021746444444444,0.539,118221040,472884160,4299.633833408356,35,cifar10,label,0.5,0.01,5,64,44
5,1.2637447017669678,0.539,0.5058004432788298,0.91426305,0.5643,118221040,591105200,4299.633833408356,35,cifar10,label,0.5,0.01,5,64,44
6,1.192467823410034,0.5643,0.5419665221357091,0.9229520055555556,0.5874,118221040,709326240,4299.633833408356,35,cifar10,label,0.5,0.01,5,64,44
7,1.146761471557617,0.5874,0.570627710446473,0.9288660333333334,0.606,118221040,827547280,4299.633833408356,35,cifar10,label,0.5,0.01,5,64,44
8,1.1144244583129883,0.606,0.5932312561851665,0.9330949499999999,0.6225,118221040,945768320,4299.633833408356,35,cifar10,label,0.5,0.01,5,64,44
9,1.0845220169067382,0.6225,0.6129996709508614,0.9365229222222222,0.6331,118221040,1063989360,4299.633833408356,35,cifar10,label,0.5,0.01,5,64,44
10,1.0697008701324462,0.6331,0.6252094586428981,0.9389652388888887,0.6408,118221040,1182210400,4299.633833408356,35,cifar10,label,0.5,0.01,5,64,44
11,1.0703367988586425,0.6408,0.6335915957170237,0.9407879666666666,0.6476,118221040,1300431440,4299.633833408356,35,cifar10,label,0.5,0.01,5,64,44
12,1.0684960739135743,0.6476,0.6414893866745718,0.9423682333333334,0.6515,118221040,1418652480,4299.633833408356,35,cifar10,label,0.5,0.01,5,64,44
13,1.0772708127975463,0.6515,0.6456465705039335,0.9433161944444445,0.6552,118221040,1536873520,4299.633833408356,35,cifar10,label,0.5,0.01,5,64,44
14,1.0853050283432006,0.6552,0.6499745215741228,0.9443150500000002,0.6565,118221040,1655094560,4299.633833408356,35,cifar10,label,0.5,0.01,5,64,44
15,1.0927852849960327,0.6565,0.6517657267609227,0.9451092888888889,0.66,118221040,1773315600,4299.633833408356,35,cifar10,label,0.5,0.01,5,64,44
16,1.1060984384536743,0.66,0.6549966583423177,0.9457783333333334,0.6614,118221040,1891536640,4299.633833408356,35,cifar10,label,0.5,0.01,5,64,44
17,1.1228455814361573,0.6614,0.6566095058889039,0.9462856166666667,0.6652,118221040,2009757680,4299.633833408356,35,cifar10,label,0.5,0.01,5,64,44
18,1.1209019037246704,0.6652,0.6610613558712598,0.9467997277777777,0.664,118221040,2127978720,4299.633833408356,35,cifar10,label,0.5,0.01,5,64,44
19,1.153390945625305,0.664,0.659215188290646,0.9469266388888888,0.6672,118221040,2246199760,4299.633833408356,35,cifar10,label,0.5,0.01,5,64,44
20,1.1631286151885987,0.6672,0.6618408622778389,0.9473640944444444,0.6693,118221040,2364420800,4299.633833408356,35,cifar10,label,0.5,0.01,5,64,44
21,1.173064080619812,0.6693,0.664306608986473,0.9477682555555557,0.6742,118221040,2482641840,4299.633833408356,35,cifar10,label,0.5,0.01,5,64,44
22,1.1860275287628175,0.6742,0.669429295325653,0.9480841055555554,0.6739,118221040,2600862880,4299.633833408356,35,cifar10,label,0.5,0.01,5,64,44
23,1.1977552104949951,0.6739,0.6686552509158753,0.948348038888889,0.6761,118221040,2719083920,4299.633833408356,35,cifar10,label,0.5,0.01,5,64,44
24,1.2293427171707154,0.6761,0.6712378357559936,0.9486207555555556,0.673,118221040,2837304960,4299.633833408356,35,cifar10,label,0.5,0.01,5,64,44
25,1.228691433906555,0.673,0.6675201099682443,0.9483413888888889,0.6785,118221040,2955526000,4299.633833408356,35,cifar10,label,0.5,0.01,5,64,44
26,1.2418943397521973,0.6785,0.6746749881661566,0.9489471944444444,0.6808,118221040,3073747040,4299.633833408356,35,cifar10,label,0.5,0.01,5,64,44
27,1.2607590173721313,0.6808,0.6770004262398466,0.9492833277777779,0.6773,118221040,3191968080,4299.633833408356,35,cifar10,label,0.5,0.01,5,64,44
28,1.2706984243392945,0.6773,0.6737660916809605,0.9488438055555555,0.6805,118221040,3310189120,4299.633833408356,35,cifar10,label,0.5,0.01,5,64,44
29,1.279377758026123,0.6805,0.6765698783705997,0.9493629,0.6815,118221040,3428410160,4299.633833408356,35,cifar10,label,0.5,0.01,5,64,44
30,1.294082385635376,0.6815,0.6771899342532349,0.9495273833333334,0.68,118221040,3546631200,4299.633833408356,35,cifar10,label,0.5,0.01,5,64,44
31,1.3084196895599365,0.68,0.6763330508866984,0.9490509333333332,0.0,118221040,3664852240,4299.633833408356,35,cifar10,label,0.5,0.01,5,64,44
