round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,proximal_mu,local_epochs,batch_size,seed
1,2.298709703063965,0.1475,0.09507755834796576,0.55260295,0.2372,118221040,118221040,16157.13880944252,35,cifar10,label,0.1,0.1,5,64,43
2,2.1771133018493654,0.2372,0.1556199843793529,0.74760215,0.2604,118221040,236442080,16157.13880944252,35,cifar10,label,0.1,0.1,5,64,43
3,2.0358679191589357,0.2604,0.17907637665655352,0.8082771333333334,0.3152,118221040,354663120,16157.13880944252,35,cifar10,label,0.1,0.1,5,64,43
4,1.9268154499053955,0.3152,0.2413089163727303,0.8366763222222222,0.3558,118221040,472884160,16157.13880944252,35,cifar10,label,0.1,0.1,5,64,43
5,1.8250015230178833,0.3558,0.2900006738382102,0.8519219333333334,0.3748,118221040,591105200,16157.13880944252,35,cifar10,label,0.1,0.1,5,64,43
6,1.75423376121521,0.3748,0.3133901097172854,0.8617186611111112,0.3876,118221040,709326240,16157.13880944252,35,cifar10,label,0.1,0.1,5,64,43
7,1.7021831392288207,0.3876,0.328619510878822,0.8685235944444445,0.4019,118221040,827547280,16157.13880944252,35,cifar10,label,0.1,0.1,5,64,43
8,1.6558967723846436,0.4019,0.3437260962004455,0.8745577055555556,0.4165,118221040,945768320,16157.13880944252,35,cifar10,label,0.1,0.1,5,64,43
9,1.6223577808380127,0.4165,0.3600021630341271,0.8792310666666667,0.4267,118221040,1063989360,16157.13880944252,35,cifar10,label,0.1,0.1,5,64,43
10,1.5884702831268311,0.4267,0.3714854143867296,0.8836064833333331,0.4386,118221040,1182210400,16157.13880944252,35,cifar10,label,0.1,0.1,5,64,43
11,1.5558669261932374,0.4386,0.38526504267956596,0.8875364777777778,0.4505,118221040,1300431440,16157.13880944252,35,cifar10,label,0.1,0.1,5,64,43
12,1.5313342914581298,0.4505,0.3986158630639737,0.8911330611111111,0.4611,118221040,1418652480,16157.13880944252,35,cifar10,label,0.1,0.1,5,64,43
13,1.5054457061767579,0.4611,0.4103946572011397,0.8945256055555555,0.4688,118221040,1536873520,16157.13880944252,35,cifar10,label,0.1,0.1,5,64,43
14,1.4816737083435059,0.4688,0.4189496837569601,0.8976058222222221,0.4763,118221040,1655094560,16157.13880944252,35,cifar10,label,0.1,0.1,5,64,43
15,1.4606138095855712,0.4763,0.4281358247608457,0.9004074555555557,0.4858,118221040,1773315600,16157.13880944252,35,cifar10,label,0.1,0.1,5,64,43
16,1.4404034397125245,0.4858,0.438980126275783,0.9030629166666666,0.49,118221040,1891536640,16157.13880944252,35,cifar10,label,0.1,0.1,5,64,43
17,1.422429984664917,0.49,0.44445644833611997,0.9054158944444446,0.4966,118221040,2009757680,16157.13880944252,35,cifar10,label,0.1,0.1,5,64,43
18,1.4074102689743042,0.4966,0.45127523643403517,0.9075789166666667,0.5056,118221040,2127978720,16157.13880944252,35,cifar10,label,0.1,0.1,5,64,43
19,1.3887102905273438,0.5056,0.4622752374295141,0.9096167166666668,0.5129,118221040,2246199760,16157.13880944252,35,cifar10,label,0.1,0.1,5,64,43
20,1.3728592742919923,0.5129,0.47079668127676333,0.9114194888888889,0.5186,118221040,2364420800,16157.13880944252,35,cifar10,label,0.1,0.1,5,64,43
21,1.360026170349121,0.5186,0.4776339226320404,0.912991561111111,0.5248,118221040,2482641840,16157.13880944252,35,cifar10,label,0.1,0.1,5,64,43
22,1.3471863842010499,0.5248,0.4850368926892744,0.9145248944444445,0.5301,118221040,2600862880,16157.13880944252,35,cifar10,label,0.1,0.1,5,64,43
23,1.3373691062927247,0.5301,0.4915160939078704,0.9158911000000002,0.5332,118221040,2719083920,16157.13880944252,35,cifar10,label,0.1,0.1,5,64,43
24,1.3247829544067382,0.5332,0.4960648146110918,0.9172061777777779,0.5389,118221040,2837304960,16157.13880944252,35,cifar10,label,0.1,0.1,5,64,43
25,1.3125772373199462,0.5389,0.503218918340935,0.9184176500000001,0.5436,118221040,2955526000,16157.13880944252,35,cifar10,label,0.1,0.1,5,64,43
26,1.3029132669448853,0.5436,0.5085828620450238,0.9194874444444444,0.546,118221040,3073747040,16157.13880944252,35,cifar10,label,0.1,0.1,5,64,43
27,1.2932772807121278,0.546,0.5123491421420602,0.9205100388888889,0.5493,118221040,3191968080,16157.13880944252,35,cifar10,label,0.1,0.1,5,64,43
28,1.283846806526184,0.5493,0.5164797518042836,0.9215204111111112,0.5531,118221040,3310189120,16157.13880944252,35,cifar10,label,0.1,0.1,5,64,43
29,1.2789853300094605,0.5531,0.5211113011799069,0.9222736777777778,0.5559,118221040,3428410160,16157.13880944252,35,cifar10,label,0.1,0.1,5,64,43
30,1.2752064312934877,0.5559,0.5246310149350422,0.9230604333333334,0.5586,118221040,3546631200,16157.13880944252,35,cifar10,label,0.1,0.1,5,64,43
31,1.26884374294281,0.5586,0.5282786295173844,0.9238125055555557,0.0,118221040,3664852240,16157.13880944252,35,cifar10,label,0.1,0.1,5,64,43
