round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,proximal_mu,local_epochs,batch_size,seed
1,2.29947508392334,0.1045,0.036501414715106956,0.5703879277777778,0.561,118221040,118221040,5066.442432403564,35,cifar10,quantity,0.1,0.001,5,64,46
2,1.32552407245636,0.561,0.5439117976204514,0.9165544055555556,0.6505,118221040,236442080,5066.442432403564,35,cifar10,quantity,0.1,0.001,5,64,46
3,1.0107252571105958,0.6505,0.6504915394383898,0.9408786222222222,0.6707,118221040,354663120,5066.442432403564,35,cifar10,quantity,0.1,0.001,5,64,46
4,0.999556826210022,0.6707,0.6712050938493059,0.9454092222222222,0.6785,118221040,472884160,5066.442432403564,35,cifar10,quantity,0.1,0.001,5,64,46
5,1.0816442190170288,0.6785,0.6774356822466301,0.9452812277777778,0.6709,118221040,591105200,5066.442432403564,35,cifar10,quantity,0.1,0.001,5,64,46
6,1.2500145668029785,0.6709,0.6718193298474487,0.9436265055555555,0.6737,118221040,709326240,5066.442432403564,35,cifar10,quantity,0.1,0.001,5,64,46
7,1.3622385023117065,0.6737,0.6740474863606291,0.9425899222222224,0.6748,118221040,827547280,5066.442432403564,35,cifar10,quantity,0.1,0.001,5,64,46
8,1.5159552211761476,0.6748,0.6734750973456373,0.9426695166666667,0.68,118221040,945768320,5066.442432403564,35,cifar10,quantity,0.1,0.001,5,64,46
9,1.6240661322593688,0.68,0.6792535817060489,0.9425509555555556,0.6754,118221040,1063989360,5066.442432403564,35,cifar10,quantity,0.1,0.001,5,64,46
10,1.7988521949768066,0.6754,0.6737981803666413,0.9421750666666666,0.6724,118221040,1182210400,5066.442432403564,35,cifar10,quantity,0.1,0.001,5,64,46
11,1.8860121242523193,0.6724,0.6712372614181769,0.94107045,0.6765,118221040,1300431440,5066.442432403564,35,cifar10,quantity,0.1,0.001,5,64,46
12,1.967221992301941,0.6765,0.6741827256844888,0.9421557888888887,0.6719,118221040,1418652480,5066.442432403564,35,cifar10,quantity,0.1,0.001,5,64,46
13,2.025387615585327,0.6719,0.6711007713700842,0.9400367944444445,0.6653,118221040,1536873520,5066.442432403564,35,cifar10,quantity,0.1,0.001,5,64,46
14,2.205130128669739,0.6653,0.6618708424937941,0.9379907833333334,0.6751,118221040,1655094560,5066.442432403564,35,cifar10,quantity,0.1,0.001,5,64,46
15,2.2474800569534303,0.6751,0.6741633756945675,0.9418259888888889,0.6808,118221040,1773315600,5066.442432403564,35,cifar10,quantity,0.1,0.001,5,64,46
16,2.29983007850647,0.6808,0.6796139914439343,0.9429220333333334,0.6797,118221040,1891536640,5066.442432403564,35,cifar10,quantity,0.1,0.001,5,64,46
17,2.3543817695617677,0.6797,0.678500110910668,0.9431011277777778,0.6671,118221040,2009757680,5066.442432403564,35,cifar10,quantity,0.1,0.001,5,64,46
18,2.37728638381958,0.6671,0.6660336048828006,0.9390208055555556,0.6755,118221040,2127978720,5066.442432403564,35,cifar10,quantity,0.1,0.001,5,64,46
19,2.407609619140625,0.6755,0.6738536867325572,0.9404124055555554,0.6785,118221040,2246199760,5066.442432403564,35,cifar10,quantity,0.1,0.001,5,64,46
20,2.5090322580337525,0.6785,0.6770431448178557,0.9414292499999999,0.6603,118221040,2364420800,5066.442432403564,35,cifar10,quantity,0.1,0.001,5,64,46
21,2.7272632650375366,0.6603,0.659743267674099,0.9374519277777777,0.6708,118221040,2482641840,5066.442432403564,35,cifar10,quantity,0.1,0.001,5,64,46
22,2.5781539754867553,0.6708,0.6685961481188472,0.9392316611111109,0.6744,118221040,2600862880,5066.442432403564,35,cifar10,quantity,0.1,0.001,5,64,46
23,2.6484530384063723,0.6744,0.6731289504431871,0.9398452666666666,0.6722,118221040,2719083920,5066.442432403564,35,cifar10,quantity,0.1,0.001,5,64,46
24,2.7514628715515137,0.6722,0.6696659045212954,0.9400669055555555,0.6715,118221040,2837304960,5066.442432403564,35,cifar10,quantity,0.1,0.001,5,64,46
25,2.7684286128997804,0.6715,0.6692011599665589,0.940744011111111,0.6705,118221040,2955526000,5066.442432403564,35,cifar10,quantity,0.1,0.001,5,64,46
26,2.910269166946411,0.6705,0.6674616215079395,0.9392579611111112,0.6638,118221040,3073747040,5066.442432403564,35,cifar10,quantity,0.1,0.001,5,64,46
27,2.7806286266326903,0.6638,0.6623740018866959,0.9374853999999999,0.6714,118221040,3191968080,5066.442432403564,35,cifar10,quantity,0.1,0.001,5,64,46
28,2.8638608043670652,0.6714,0.669696158816451,0.9377310277777777,0.6721,118221040,3310189120,5066.442432403564,35,cifar10,quantity,0.1,0.001,5,64,46
29,2.90103167514801,0.6721,0.6695964095926324,0.938079811111111,0.6668,118221040,3428410160,5066.442432403564,35,cifar10,quantity,0.1,0.001,5,64,46
30,3.186278434753418,0.6668,0.665533127112325,0.9390660777777777,0.674,118221040,3546631200,5066.442432403564,35,cifar10,quantity,0.1,0.001,5,64,46
31,3.040688425064087,0.674,0.6736213389852501,0.9389868277777775,0.0,118221040,3664852240,5066.442432403564,35,cifar10,quantity,0.1,0.001,5,64,46
