round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,local_epochs,seed
1,2.301845955276489,0.0893,0.04861367622650547,0.5350526888888889,0.2627,118221040,118221040,3892.848922252655,35,cifar10,label,0.1,5,44
2,2.167474311065674,0.2627,0.1645593759810743,0.8003864944444444,0.3244,118221040,236442080,3892.848922252655,35,cifar10,label,0.1,5,44
3,1.8991194894790648,0.3244,0.25632684472858,0.8289070277777777,0.4176,118221040,354663120,3892.848922252655,35,cifar10,label,0.1,5,44
4,1.6682692798614502,0.4176,0.3886894285373593,0.8624002555555557,0.4654,118221040,472884160,3892.848922252655,35,cifar10,label,0.1,5,44
5,1.5001961538314819,0.4654,0.4253550274223491,0.8818476555555556,0.5035,118221040,591105200,3892.848922252655,35,cifar10,label,0.1,5,44
6,1.3976389612197877,0.5035,0.47291223165142043,0.8930535777777779,0.5223,118221040,709326240,3892.848922252655,35,cifar10,label,0.1,5,44
7,1.3245800411224364,0.5223,0.4893222324426283,0.9028721555555557,0.5399,118221040,827547280,3892.848922252655,35,cifar10,label,0.1,5,44
8,1.2752027103424073,0.5399,0.519227571851635,0.9068931333333332,0.5507,118221040,945768320,3892.848922252655,35,cifar10,label,0.1,5,44
9,1.2406334358215332,0.5507,0.5289383926894382,0.9124044444444446,0.561,118221040,1063989360,3892.848922252655,35,cifar10,label,0.1,5,44
10,1.2193878469467163,0.561,0.54530602671042,0.9143261888888888,0.5628,118221040,1182210400,3892.848922252655,35,cifar10,label,0.1,5,44
11,1.2070705490112306,0.5628,0.5435104095195709,0.9175351888888889,0.5718,118221040,1300431440,3892.848922252655,35,cifar10,label,0.1,5,44
12,1.1929579385757447,0.5718,0.5588860145571948,0.9186623111111111,0.5786,118221040,1418652480,3892.848922252655,35,cifar10,label,0.1,5,44
13,1.1876607303619384,0.5786,0.5657404340240207,0.9203622555555555,0.579,118221040,1536873520,3892.848922252655,35,cifar10,label,0.1,5,44
14,1.1957042669296265,0.579,0.5673878293531641,0.9213169555555556,0.5822,118221040,1655094560,3892.848922252655,35,cifar10,label,0.1,5,44
15,1.1969879936218262,0.5822,0.5691124137987749,0.9224112277777777,0.5872,118221040,1773315600,3892.848922252655,35,cifar10,label,0.1,5,44
16,1.2032636459350585,0.5872,0.575987397785445,0.9230132222222223,0.5891,118221040,1891536640,3892.848922252655,35,cifar10,label,0.1,5,44
17,1.2198997295379639,0.5891,0.5776247577165334,0.9231920499999999,0.5889,118221040,2009757680,3892.848922252655,35,cifar10,label,0.1,5,44
18,1.2330534905433654,0.5889,0.5774956746085553,0.9233474222222222,0.5887,118221040,2127978720,3892.848922252655,35,cifar10,label,0.1,5,44
19,1.2509535024642944,0.5887,0.5762845777612388,0.9232500666666666,0.5938,118221040,2246199760,3892.848922252655,35,cifar10,label,0.1,5,44
20,1.2497569237709045,0.5938,0.5839775888439698,0.9235271444444445,0.5966,118221040,2364420800,3892.848922252655,35,cifar10,label,0.1,5,44
21,1.2869868247032166,0.5966,0.5845117337057527,0.9238931944444445,0.5924,118221040,2482641840,3892.848922252655,35,cifar10,label,0.1,5,44
22,1.2988405636787415,0.5924,0.5801799340076718,0.9230597777777778,0.5985,118221040,2600862880,3892.848922252655,35,cifar10,label,0.1,5,44
23,1.3096273971557617,0.5985,0.5859815500774994,0.9237721055555556,0.5965,118221040,2719083920,3892.848922252655,35,cifar10,label,0.1,5,44
24,1.3405877103805541,0.5965,0.5841216929498054,0.9235284555555555,0.5976,118221040,2837304960,3892.848922252655,35,cifar10,label,0.1,5,44
25,1.3345739479064942,0.5976,0.5854052019185444,0.9236299944444445,0.6006,118221040,2955526000,3892.848922252655,35,cifar10,label,0.1,5,44
26,1.36834899559021,0.6006,0.5889927325832051,0.9239283111111112,0.6,118221040,3073747040,3892.848922252655,35,cifar10,label,0.1,5,44
27,1.38140011138916,0.6,0.5880024877990196,0.9240596944444445,0.5985,118221040,3191968080,3892.848922252655,35,cifar10,label,0.1,5,44
28,1.4031004398345948,0.5985,0.5856326127313973,0.9235088722222222,0.5977,118221040,3310189120,3892.848922252655,35,cifar10,label,0.1,5,44
29,1.4220493535995484,0.5977,0.585065373082745,0.9236132000000001,0.6003,118221040,3428410160,3892.848922252655,35,cifar10,label,0.1,5,44
30,1.4312347246170043,0.6003,0.5883539869176367,0.9236444722222222,0.5997,118221040,3546631200,3892.848922252655,35,cifar10,label,0.1,5,44
31,1.4572936702728272,0.5997,0.5872962359717806,0.9235839,0.0,118221040,3664852240,3892.848922252655,35,cifar10,label,0.1,5,44
