round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,proximal_mu,local_epochs,batch_size,seed
1,2.298709703063965,0.1475,0.09507755834796576,0.55260295,0.5074,118221040,118221040,7411.110887289047,35,cifar10,quantity,0.5,0.01,5,64,43
2,1.536540064239502,0.5074,0.4943549454783199,0.8880355611111111,0.6039,118221040,236442080,7411.110887289047,35,cifar10,quantity,0.5,0.01,5,64,43
3,1.1153573518753053,0.6039,0.5944689793520709,0.9276081833333333,0.6508,118221040,354663120,7411.110887289047,35,cifar10,quantity,0.5,0.01,5,64,43
4,1.0003884632110596,0.6508,0.6451393796671601,0.9400433388888889,0.6722,118221040,472884160,7411.110887289047,35,cifar10,quantity,0.5,0.01,5,64,43
5,0.9416235215187073,0.6722,0.6682501089475081,0.9463375888888889,0.6859,118221040,591105200,7411.110887289047,35,cifar10,quantity,0.5,0.01,5,64,43
6,0.9090060199737549,0.6859,0.6828093990185835,0.9502991777777778,0.6947,118221040,709326240,7411.110887289047,35,cifar10,quantity,0.5,0.01,5,64,43
7,0.8972286423683167,0.6947,0.6917302145517392,0.9527578722222223,0.7022,118221040,827547280,7411.110887289047,35,cifar10,quantity,0.5,0.01,5,64,43
8,0.8927824523925781,0.7022,0.6992800849261871,0.9545894388888889,0.7075,118221040,945768320,7411.110887289047,35,cifar10,quantity,0.5,0.01,5,64,43
9,0.8967412274360657,0.7075,0.705062456771395,0.9558655666666667,0.7118,118221040,1063989360,7411.110887289047,35,cifar10,quantity,0.5,0.01,5,64,43
10,0.9192386440277099,0.7118,0.7099850250104718,0.9566879833333333,0.716,118221040,1182210400,7411.110887289047,35,cifar10,quantity,0.5,0.01,5,64,43
11,0.9550189995765686,0.716,0.7144790620560229,0.9569491333333333,0.7149,118221040,1300431440,7411.110887289047,35,cifar10,quantity,0.5,0.01,5,64,43
12,0.9904736091613769,0.7149,0.7133901893708131,0.9568832055555555,0.7141,118221040,1418652480,7411.110887289047,35,cifar10,quantity,0.5,0.01,5,64,43
13,1.035274549293518,0.7141,0.7130687432059293,0.956671922222222,0.7138,118221040,1536873520,7411.110887289047,35,cifar10,quantity,0.5,0.01,5,64,43
14,1.071311194896698,0.7138,0.7130418643588606,0.9565101944444445,0.7165,118221040,1655094560,7411.110887289047,35,cifar10,quantity,0.5,0.01,5,64,43
15,1.119097422027588,0.7165,0.7155538109593123,0.9567192500000001,0.7144,118221040,1773315600,7411.110887289047,35,cifar10,quantity,0.5,0.01,5,64,43
16,1.145592374420166,0.7144,0.7132474557024714,0.9560403555555557,0.7148,118221040,1891536640,7411.110887289047,35,cifar10,quantity,0.5,0.01,5,64,43
17,1.1985878253936768,0.7148,0.713194935798956,0.9560008999999999,0.7156,118221040,2009757680,7411.110887289047,35,cifar10,quantity,0.5,0.01,5,64,43
18,1.2432272928237915,0.7156,0.7141181526729705,0.9561084388888889,0.7131,118221040,2127978720,7411.110887289047,35,cifar10,quantity,0.5,0.01,5,64,43
19,1.269237699508667,0.7131,0.7117579396884,0.9554294722222222,0.7153,118221040,2246199760,7411.110887289047,35,cifar10,quantity,0.5,0.01,5,64,43
20,1.3294700981140137,0.7153,0.7133356685655565,0.9561650277777778,0.7126,118221040,2364420800,7411.110887289047,35,cifar10,quantity,0.5,0.01,5,64,43
21,1.359250287246704,0.7126,0.7103419864797009,0.95538695,0.7121,118221040,2482641840,7411.110887289047,35,cifar10,quantity,0.5,0.01,5,64,43
22,1.384958892059326,0.7121,0.7112445896311086,0.9551974999999999,0.7119,118221040,2600862880,7411.110887289047,35,cifar10,quantity,0.5,0.01,5,64,43
23,1.408040563583374,0.7119,0.710937136732542,0.9550825777777778,0.7159,118221040,2719083920,7411.110887289047,35,cifar10,quantity,0.5,0.01,5,64,43
24,1.452723846435547,0.7159,0.7143701809555474,0.9553212222222223,0.7147,118221040,2837304960,7411.110887289047,35,cifar10,quantity,0.5,0.01,5,64,43
25,1.4985660202026367,0.7147,0.7137866997504251,0.9551682333333333,0.7138,118221040,2955526000,7411.110887289047,35,cifar10,quantity,0.5,0.01,5,64,43
26,1.5137381355285644,0.7138,0.7122346835492823,0.9545376611111112,0.7112,118221040,3073747040,7411.110887289047,35,cifar10,quantity,0.5,0.01,5,64,43
27,1.4994775581359863,0.7112,0.7099478991412311,0.9541468166666667,0.7145,118221040,3191968080,7411.110887289047,35,cifar10,quantity,0.5,0.01,5,64,43
28,1.5806252611160279,0.7145,0.7138531929700852,0.9547083166666667,0.7149,118221040,3310189120,7411.110887289047,35,cifar10,quantity,0.5,0.01,5,64,43
29,1.5879732055664062,0.7149,0.7140560959725044,0.9545591444444446,0.7139,118221040,3428410160,7411.110887289047,35,cifar10,quantity,0.5,0.01,5,64,43
30,1.607871542930603,0.7139,0.7131643371454612,0.9544241555555555,0.7151,118221040,3546631200,7411.110887289047,35,cifar10,quantity,0.5,0.01,5,64,43
31,1.6154308782577516,0.7151,0.714463888722337,0.9536815611111111,0.0,118221040,3664852240,7411.110887289047,35,cifar10,quantity,0.5,0.01,5,64,43
