round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,proximal_mu,local_epochs,batch_size,seed
1,2.298709703063965,0.1475,0.09507755834796576,0.55260295,0.525,84443600,84443600,2851.534290790558,25,cifar10,quantity,0.1,0.01,5,64,43
2,1.3874626850128173,0.525,0.5197812332375951,0.9142605111111111,0.6437,84443600,168887200,2851.534290790558,25,cifar10,quantity,0.1,0.01,5,64,43
3,0.9936547216415406,0.6437,0.6390841169693061,0.9434502888888888,0.6695,84443600,253330800,2851.534290790558,25,cifar10,quantity,0.1,0.01,5,64,43
4,0.9332447123527526,0.6695,0.6659621526205718,0.9499735777777778,0.6934,84443600,337774400,2851.534290790558,25,cifar10,quantity,0.1,0.01,5,64,43
5,0.8798489433288574,0.6934,0.6927829522111307,0.9544412333333334,0.7096,84443600,422218000,2851.534290790558,25,cifar10,quantity,0.1,0.01,5,64,43
6,0.8592557897567749,0.7096,0.7096739773119805,0.9570995999999999,0.7167,84443600,506661600,2851.534290790558,25,cifar10,quantity,0.1,0.01,5,64,43
7,0.8670024658203125,0.7167,0.7170568913395345,0.9583484999999999,0.7162,84443600,591105200,2851.534290790558,25,cifar10,quantity,0.1,0.01,5,64,43
8,0.9003016075134277,0.7162,0.7165852730114567,0.958375588888889,0.718,84443600,675548800,2851.534290790558,25,cifar10,quantity,0.1,0.01,5,64,43
9,0.9465738293647766,0.718,0.7183214271906426,0.9580137555555556,0.7168,84443600,759992400,2851.534290790558,25,cifar10,quantity,0.1,0.01,5,64,43
10,1.0172758187294006,0.7168,0.717650512400567,0.9571743111111111,0.7188,84443600,844436000,2851.534290790558,25,cifar10,quantity,0.1,0.01,5,64,43
11,1.0619274262428284,0.7188,0.7179299696845518,0.95726625,0.7169,84443600,928879600,2851.534290790558,25,cifar10,quantity,0.1,0.01,5,64,43
12,1.130189440536499,0.7169,0.7153859836022429,0.9567813666666666,0.7129,84443600,1013323200,2851.534290790558,25,cifar10,quantity,0.1,0.01,5,64,43
13,1.2084183559417725,0.7129,0.7113174524859526,0.9556148888888888,0.7115,84443600,1097766800,2851.534290790558,25,cifar10,quantity,0.1,0.01,5,64,43
14,1.2827673862457276,0.7115,0.7097472850147938,0.9553783277777776,0.7118,84443600,1182210400,2851.534290790558,25,cifar10,quantity,0.1,0.01,5,64,43
15,1.3458997961044312,0.7118,0.7109139162088858,0.9548065722222223,0.7063,84443600,1266654000,2851.534290790558,25,cifar10,quantity,0.1,0.01,5,64,43
16,1.4096260932922364,0.7063,0.7066502908163869,0.9533141555555555,0.7064,84443600,1351097600,2851.534290790558,25,cifar10,quantity,0.1,0.01,5,64,43
17,1.4903606281280517,0.7064,0.7076347030682835,0.9533619666666666,0.7055,84443600,1435541200,2851.534290790558,25,cifar10,quantity,0.1,0.01,5,64,43
18,1.5390269409179687,0.7055,0.7058592965168138,0.9530111777777778,0.7068,84443600,1519984800,2851.534290790558,25,cifar10,quantity,0.1,0.01,5,64,43
19,1.618536703491211,0.7068,0.706592607775901,0.9531744277777777,0.7096,84443600,1604428400,2851.534290790558,25,cifar10,quantity,0.1,0.01,5,64,43
20,1.6560668613433838,0.7096,0.710272219749981,0.9533947555555556,0.7133,84443600,1688872000,2851.534290790558,25,cifar10,quantity,0.1,0.01,5,64,43
21,1.7093758697509767,0.7133,0.71170298151003,0.9541836888888889,0.7173,84443600,1773315600,2851.534290790558,25,cifar10,quantity,0.1,0.01,5,64,43
22,1.7799734382629395,0.7173,0.7165058145490051,0.9554048555555555,0.71,84443600,1857759200,2851.534290790558,25,cifar10,quantity,0.1,0.01,5,64,43
23,1.8738071670532226,0.71,0.7101322584667226,0.9544899055555556,0.7166,84443600,1942202800,2851.534290790558,25,cifar10,quantity,0.1,0.01,5,64,43
24,1.9275417350769044,0.7166,0.7165152253595836,0.9549088722222223,0.7079,84443600,2026646400,2851.534290790558,25,cifar10,quantity,0.1,0.01,5,64,43
25,1.9844578929901122,0.7079,0.7107946149625028,0.9530038000000001,0.7151,84443600,2111090000,2851.534290790558,25,cifar10,quantity,0.1,0.01,5,64,43
26,1.9960167610168458,0.7151,0.7156054234976066,0.9547882111111111,0.7123,84443600,2195533600,2851.534290790558,25,cifar10,quantity,0.1,0.01,5,64,43
27,2.013726516723633,0.7123,0.7134543255099721,0.9547878388888889,0.7121,84443600,2279977200,2851.534290790558,25,cifar10,quantity,0.1,0.01,5,64,43
28,2.0317347381591797,0.7121,0.7119863147590832,0.9541990444444444,0.712,84443600,2364420800,2851.534290790558,25,cifar10,quantity,0.1,0.01,5,64,43
29,2.102030386352539,0.712,0.7130678684859653,0.9541962222222221,0.7162,84443600,2448864400,2851.534290790558,25,cifar10,quantity,0.1,0.01,5,64,43
30,2.1404613498687746,0.7162,0.716599649396241,0.9550356388888888,0.7096,84443600,2533308000,2851.534290790558,25,cifar10,quantity,0.1,0.01,5,64,43
31,2.1942899337768553,0.7096,0.7096594133324178,0.9538869777777779,0.0,84443600,2617751600,2851.534290790558,25,cifar10,quantity,0.1,0.01,5,64,43
