round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,local_epochs,seed
1,2.298709703063965,0.1475,0.09507755834796576,0.55260295,0.2044,118221040,118221040,6659.487090110779,35,cifar10,label,0.3,5,43
2,2.1258418716430665,0.2044,0.14795628890695958,0.8139743944444445,0.4286,118221040,236442080,6659.487090110779,35,cifar10,label,0.3,5,43
3,1.629122307395935,0.4286,0.4168441743570159,0.8634157277777778,0.4847,118221040,354663120,6659.487090110779,35,cifar10,label,0.3,5,43
4,1.432879479789734,0.4847,0.47036629109532796,0.8896079722222222,0.5293,118221040,472884160,6659.487090110779,35,cifar10,label,0.3,5,43
5,1.312366601753235,0.5293,0.5224794923424808,0.9035376333333334,0.5595,118221040,591105200,6659.487090110779,35,cifar10,label,0.3,5,43
6,1.2327201696395873,0.5595,0.5521253110085873,0.9135661,0.5806,118221040,709326240,6659.487090110779,35,cifar10,label,0.3,5,43
7,1.1751964626312257,0.5806,0.5746237416074521,0.9207525833333335,0.5976,118221040,827547280,6659.487090110779,35,cifar10,label,0.3,5,43
8,1.1375552199363708,0.5976,0.5930636335010793,0.9257398166666666,0.611,118221040,945768320,6659.487090110779,35,cifar10,label,0.3,5,43
9,1.111329034614563,0.611,0.6065995521497216,0.9296580333333333,0.6174,118221040,1063989360,6659.487090110779,35,cifar10,label,0.3,5,43
10,1.1013365513801574,0.6174,0.613462180673352,0.9324378166666666,0.6266,118221040,1182210400,6659.487090110779,35,cifar10,label,0.3,5,43
11,1.0923847316741944,0.6266,0.6228132360792897,0.9345266944444444,0.6319,118221040,1300431440,6659.487090110779,35,cifar10,label,0.3,5,43
12,1.0955439754486085,0.6319,0.6288363723656072,0.9364949555555555,0.6382,118221040,1418652480,6659.487090110779,35,cifar10,label,0.3,5,43
13,1.0916116031646728,0.6382,0.6358525282586232,0.9377640055555554,0.6411,118221040,1536873520,6659.487090110779,35,cifar10,label,0.3,5,43
14,1.105784472465515,0.6411,0.6390623769052166,0.9387341222222222,0.6428,118221040,1655094560,6659.487090110779,35,cifar10,label,0.3,5,43
15,1.1230768299102782,0.6428,0.6399067719715597,0.9392163944444445,0.6475,118221040,1773315600,6659.487090110779,35,cifar10,label,0.3,5,43
16,1.1370168405532837,0.6475,0.6449859444329691,0.9397892999999999,0.6495,118221040,1891536640,6659.487090110779,35,cifar10,label,0.3,5,43
17,1.15015026512146,0.6495,0.6467512648014269,0.9401315222222222,0.649,118221040,2009757680,6659.487090110779,35,cifar10,label,0.3,5,43
18,1.1705314357757568,0.649,0.646397992221439,0.9403225166666667,0.6504,118221040,2127978720,6659.487090110779,35,cifar10,label,0.3,5,43
19,1.184811505317688,0.6504,0.6473645112061899,0.9404538222222222,0.6505,118221040,2246199760,6659.487090110779,35,cifar10,label,0.3,5,43
20,1.201141742706299,0.6505,0.6476125529713948,0.94064265,0.6518,118221040,2364420800,6659.487090110779,35,cifar10,label,0.3,5,43
21,1.216926161956787,0.6518,0.649007591784321,0.9407712444444444,0.6532,118221040,2482641840,6659.487090110779,35,cifar10,label,0.3,5,43
22,1.2370099857330323,0.6532,0.6507742572775943,0.9408881555555555,0.6538,118221040,2600862880,6659.487090110779,35,cifar10,label,0.3,5,43
23,1.2378879295349121,0.6538,0.650988519405317,0.9410505444444445,0.6528,118221040,2719083920,6659.487090110779,35,cifar10,label,0.3,5,43
24,1.2553979721069335,0.6528,0.6498638425444128,0.9409326777777778,0.654,118221040,2837304960,6659.487090110779,35,cifar10,label,0.3,5,43
25,1.2644582149505614,0.654,0.6516424034809467,0.9411973277777779,0.655,118221040,2955526000,6659.487090110779,35,cifar10,label,0.3,5,43
26,1.2854722570419312,0.655,0.6527471839952376,0.9412934722222221,0.6549,118221040,3073747040,6659.487090110779,35,cifar10,label,0.3,5,43
27,1.289178917312622,0.6549,0.6534096836406189,0.9414737000000001,0.6569,118221040,3191968080,6659.487090110779,35,cifar10,label,0.3,5,43
28,1.3135803455352784,0.6569,0.6552682689725319,0.9413721555555554,0.6539,118221040,3310189120,6659.487090110779,35,cifar10,label,0.3,5,43
29,1.3261067848205566,0.6539,0.6517992538468362,0.9409981777777776,0.6562,118221040,3428410160,6659.487090110779,35,cifar10,label,0.3,5,43
30,1.3435107284545897,0.6562,0.654533337134781,0.9412888277777777,0.6543,118221040,3546631200,6659.487090110779,35,cifar10,label,0.3,5,43
