round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,proximal_mu,local_epochs,batch_size,seed
1,2.298709703063965,0.1475,0.09507755834796576,0.55260295,0.2,84443600,84443600,7798.421831846237,25,cifar10,label,0.1,0.01,5,64,43
2,2.117201005744934,0.2,0.09965756014539619,0.8052521722222222,0.2992,84443600,168887200,7798.421831846237,25,cifar10,label,0.1,0.01,5,64,43
3,1.9027210517883302,0.2992,0.19924718721846013,0.8541101000000001,0.37,84443600,253330800,7798.421831846237,25,cifar10,label,0.1,0.01,5,64,43
4,1.7221100471496582,0.37,0.2774427128107015,0.8776682000000001,0.4261,84443600,337774400,7798.421831846237,25,cifar10,label,0.1,0.01,5,64,43
5,1.6043372365951538,0.4261,0.34722021865829533,0.8905132888888889,0.4666,84443600,422218000,7798.421831846237,25,cifar10,label,0.1,0.01,5,64,43
6,1.5115983640670776,0.4666,0.3975400502761844,0.9008202166666667,0.4898,84443600,506661600,7798.421831846237,25,cifar10,label,0.1,0.01,5,64,43
7,1.467859487056732,0.4898,0.4254964890560108,0.9073979944444444,0.5051,84443600,591105200,7798.421831846237,25,cifar10,label,0.1,0.01,5,64,43
8,1.4262687076568603,0.5051,0.4453936804381288,0.9118708722222222,0.5247,84443600,675548800,7798.421831846237,25,cifar10,label,0.1,0.01,5,64,43
9,1.3954275809288026,0.5247,0.46905795558339775,0.9157849888888888,0.5349,84443600,759992400,7798.421831846237,25,cifar10,label,0.1,0.01,5,64,43
10,1.377933314704895,0.5349,0.4836313850564645,0.918689711111111,0.5458,84443600,844436000,7798.421831846237,25,cifar10,label,0.1,0.01,5,64,43
11,1.36586255569458,0.5458,0.4984700703897639,0.9211343500000002,0.5546,84443600,928879600,7798.421831846237,25,cifar10,label,0.1,0.01,5,64,43
12,1.354218869113922,0.5546,0.5121642980759155,0.9230464777777778,0.5651,84443600,1013323200,7798.421831846237,25,cifar10,label,0.1,0.01,5,64,43
13,1.349282604598999,0.5651,0.5263414530896738,0.9243505166666667,0.5685,84443600,1097766800,7798.421831846237,25,cifar10,label,0.1,0.01,5,64,43
14,1.3841669683456421,0.5685,0.5311016087588827,0.9249168222222222,0.5773,84443600,1182210400,7798.421831846237,25,cifar10,label,0.1,0.01,5,64,43
15,1.3642155555725097,0.5773,0.5432284344520353,0.9262014333333335,0.5786,84443600,1266654000,7798.421831846237,25,cifar10,label,0.1,0.01,5,64,43
16,1.3925908280372619,0.5786,0.5453241230934479,0.9265967555555555,0.5844,84443600,1351097600,7798.421831846237,25,cifar10,label,0.1,0.01,5,64,43
17,1.3946097549438476,0.5844,0.5540022649524785,0.9275586055555556,0.5887,84443600,1435541200,7798.421831846237,25,cifar10,label,0.1,0.01,5,64,43
18,1.3843860052108765,0.5887,0.5599185730320522,0.9288583055555556,0.59,84443600,1519984800,7798.421831846237,25,cifar10,label,0.1,0.01,5,64,43
19,1.4107935054779053,0.59,0.5627248266129178,0.9280968222222222,0.5965,84443600,1604428400,7798.421831846237,25,cifar10,label,0.1,0.01,5,64,43
20,1.4044862440109254,0.5965,0.5710905426906312,0.9287510666666667,0.5974,84443600,1688872000,7798.421831846237,25,cifar10,label,0.1,0.01,5,64,43
21,1.431411906528473,0.5974,0.571945678613259,0.9286000888888889,0.6019,84443600,1773315600,7798.421831846237,25,cifar10,label,0.1,0.01,5,64,43
22,1.4334228176116943,0.6019,0.5781162822033608,0.9290338111111112,0.601,84443600,1857759200,7798.421831846237,25,cifar10,label,0.1,0.01,5,64,43
23,1.456831560897827,0.601,0.5759978814582263,0.9292005777777776,0.6033,84443600,1942202800,7798.421831846237,25,cifar10,label,0.1,0.01,5,64,43
24,1.4591563005447388,0.6033,0.5802125176608323,0.92979795,0.608,84443600,2026646400,7798.421831846237,25,cifar10,label,0.1,0.01,5,64,43
25,1.4838573436737061,0.608,0.5848405802509306,0.93042105,0.607,84443600,2111090000,7798.421831846237,25,cifar10,label,0.1,0.01,5,64,43
26,1.50292105178833,0.607,0.5845146109125638,0.9301831611111112,0.6069,84443600,2195533600,7798.421831846237,25,cifar10,label,0.1,0.01,5,64,43
27,1.5065931611061096,0.6069,0.5853924936069398,0.9302666944444444,0.607,84443600,2279977200,7798.421831846237,25,cifar10,label,0.1,0.01,5,64,43
28,1.5499958557128906,0.607,0.585784557980525,0.9301734222222222,0.6096,84443600,2364420800,7798.421831846237,25,cifar10,label,0.1,0.01,5,64,43
29,1.580684090423584,0.6096,0.5894238935239329,0.9303050055555555,0.611,84443600,2448864400,7798.421831846237,25,cifar10,label,0.1,0.01,5,64,43
30,1.5657885686874389,0.611,0.5916560405552356,0.9307297166666668,0.6084,84443600,2533308000,7798.421831846237,25,cifar10,label,0.1,0.01,5,64,43
31,1.5781110549926758,0.6084,0.5882414520003781,0.9302792722222222,0.0,84443600,2617751600,7798.421831846237,25,cifar10,label,0.1,0.01,5,64,43
