round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,proximal_mu,local_epochs,batch_size,seed
1,2.29947508392334,0.1045,0.036501414715106956,0.5703879277777778,0.2477,118221040,118221040,8798.733433246613,35,cifar10,label,0.1,0.01,10,64,46
2,2.2523155986785888,0.2477,0.1472194317199974,0.7600851722222222,0.3324,118221040,236442080,8798.733433246613,35,cifar10,label,0.1,0.01,10,64,46
3,2.0995818367004393,0.3324,0.22461841849377215,0.8164715499999999,0.3732,118221040,354663120,8798.733433246613,35,cifar10,label,0.1,0.01,10,64,46
4,1.9863392860412599,0.3732,0.27077379987064837,0.8495127555555557,0.4044,118221040,472884160,8798.733433246613,35,cifar10,label,0.1,0.01,10,64,46
5,1.8864150764465333,0.4044,0.3159459012598532,0.868969361111111,0.4326,118221040,591105200,8798.733433246613,35,cifar10,label,0.1,0.01,10,64,46
6,1.8123471746444701,0.4326,0.3575554243414259,0.8812172944444445,0.4593,118221040,709326240,8798.733433246613,35,cifar10,label,0.1,0.01,10,64,46
7,1.7704053045272827,0.4593,0.39477780836288906,0.8895717444444445,0.4757,118221040,827547280,8798.733433246613,35,cifar10,label,0.1,0.01,10,64,46
8,1.771648729133606,0.4757,0.41802541633428314,0.8941513722222222,0.4851,118221040,945768320,8798.733433246613,35,cifar10,label,0.1,0.01,10,64,46
9,1.7968447486877441,0.4851,0.43153185310533476,0.8966980111111111,0.5041,118221040,1063989360,8798.733433246613,35,cifar10,label,0.1,0.01,10,64,46
10,1.7513503528594971,0.5041,0.4552490112762636,0.9005379055555555,0.51,118221040,1182210400,8798.733433246613,35,cifar10,label,0.1,0.01,10,64,46
11,1.7619130754470824,0.51,0.46372500934281896,0.9034115222222223,0.5183,118221040,1300431440,8798.733433246613,35,cifar10,label,0.1,0.01,10,64,46
12,1.7573094482421876,0.5183,0.4738728679999607,0.9057348055555556,0.5244,118221040,1418652480,8798.733433246613,35,cifar10,label,0.1,0.01,10,64,46
13,1.7657627769470214,0.5244,0.48253038936971737,0.9071712277777777,0.5331,118221040,1536873520,8798.733433246613,35,cifar10,label,0.1,0.01,10,64,46
14,1.7537359657287597,0.5331,0.4933745651653327,0.9094476388888889,0.5187,118221040,1655094560,8798.733433246613,35,cifar10,label,0.1,0.01,10,64,46
15,1.858640565109253,0.5187,0.475845745873575,0.9063828555555556,0.5187,118221040,1773315600,8798.733433246613,35,cifar10,label,0.1,0.01,10,64,46
16,1.89372194480896,0.5187,0.4756132455393657,0.9068366833333332,0.5328,118221040,1891536640,8798.733433246613,35,cifar10,label,0.1,0.01,10,64,46
17,1.84476208152771,0.5328,0.49323026586854085,0.9089067166666667,0.5478,118221040,2009757680,8798.733433246613,35,cifar10,label,0.1,0.01,10,64,46
18,1.8096369638442993,0.5478,0.5121841466365022,0.9130221055555555,0.5549,118221040,2127978720,8798.733433246613,35,cifar10,label,0.1,0.01,10,64,46
19,1.8312656372070313,0.5549,0.5206713760768578,0.9151182944444445,0.5633,118221040,2246199760,8798.733433246613,35,cifar10,label,0.1,0.01,10,64,46
20,1.8476069877624512,0.5633,0.5324560141779127,0.9164696333333333,0.5693,118221040,2364420800,8798.733433246613,35,cifar10,label,0.1,0.01,10,64,46
21,1.8486636222839354,0.5693,0.5386031870002196,0.9177040222222222,0.5702,118221040,2482641840,8798.733433246613,35,cifar10,label,0.1,0.01,10,64,46
22,1.8459404369354249,0.5702,0.5398062777297368,0.9180011166666666,0.5729,118221040,2600862880,8798.733433246613,35,cifar10,label,0.1,0.01,10,64,46
23,1.8114804710388184,0.5729,0.5438012199432725,0.9184889833333333,0.5838,118221040,2719083920,8798.733433246613,35,cifar10,label,0.1,0.01,10,64,46
24,1.7808624794006347,0.5838,0.5546844863340988,0.9202176666666666,0.5806,118221040,2837304960,8798.733433246613,35,cifar10,label,0.1,0.01,10,64,46
25,1.8575751167297363,0.5806,0.5531455026954143,0.9194381277777779,0.5847,118221040,2955526000,8798.733433246613,35,cifar10,label,0.1,0.01,10,64,46
26,1.8536451927185058,0.5847,0.5568529383945379,0.9203745444444443,0.5881,118221040,3073747040,8798.733433246613,35,cifar10,label,0.1,0.01,10,64,46
27,1.8055306213378906,0.5881,0.5617617868513581,0.9209404333333333,0.5868,118221040,3191968080,8798.733433246613,35,cifar10,label,0.1,0.01,10,64,46
28,1.851373617553711,0.5868,0.5588036035169044,0.9210551111111112,0.5891,118221040,3310189120,8798.733433246613,35,cifar10,label,0.1,0.01,10,64,46
29,1.8509285678863525,0.5891,0.5621056927794054,0.9212444111111111,0.5865,118221040,3428410160,8798.733433246613,35,cifar10,label,0.1,0.01,10,64,46
30,1.9054927612304688,0.5865,0.5610140886202393,0.9209116833333333,0.5861,118221040,3546631200,8798.733433246613,35,cifar10,label,0.1,0.01,10,64,46
31,1.9128562850952149,0.5861,0.5607279913918088,0.9213539166666667,0.0,118221040,3664852240,8798.733433246613,35,cifar10,label,0.1,0.01,10,64,46
