round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,local_epochs,seed
1,2.298709703063965,0.1475,0.09507755834796576,0.55260295,0.3052,84443600,84443600,8689.114436388016,25,cifar10,quantity,0.1,10,43
2,383.0145566894531,0.3052,0.2625282917729169,0.6416885833333333,0.1052,84443600,168887200,8689.114436388016,25,cifar10,quantity,0.1,10,43
3,419.81615478515624,0.1052,0.033182396686823656,0.5025487111111111,0.1076,84443600,253330800,8689.114436388016,25,cifar10,quantity,0.1,10,43
4,53.69051630249024,0.1076,0.045939882289333635,0.5359783666666667,0.1028,84443600,337774400,8689.114436388016,25,cifar10,quantity,0.1,10,43
5,38.43824127807617,0.1028,0.044911096225572676,0.5111126555555556,0.0999,84443600,422218000,8689.114436388016,25,cifar10,quantity,0.1,10,43
6,301.06380532226564,0.0999,0.01816528775343213,0.4992181111111111,0.0755,84443600,506661600,8689.114436388016,25,cifar10,quantity,0.1,10,43
7,137.54078447265624,0.0755,0.03142206854395455,0.49219944444444447,0.1033,84443600,591105200,8689.114436388016,25,cifar10,quantity,0.1,10,43
8,227.26106188964843,0.1033,0.027735996309038485,0.49194177777777776,0.1455,84443600,675548800,8689.114436388016,25,cifar10,quantity,0.1,10,43
9,625.717800390625,0.1455,0.04903885903265812,0.532538638888889,0.0952,84443600,759992400,8689.114436388016,25,cifar10,quantity,0.1,10,43
10,3.3986312702178956,0.0952,0.02123861741695524,0.49618226666666654,0.1,84443600,844436000,8689.114436388016,25,cifar10,quantity,0.1,10,43
11,2.3112522857666016,0.1,0.01818181818181818,0.5,0.1,84443600,928879600,8689.114436388016,25,cifar10,quantity,0.1,10,43
12,2.3059970642089844,0.1,0.01818181818181818,0.5,0.1,84443600,1013323200,8689.114436388016,25,cifar10,quantity,0.1,10,43
13,2.3064657157897948,0.1,0.01818181818181818,0.5,0.1,84443600,1097766800,8689.114436388016,25,cifar10,quantity,0.1,10,43
14,2.3045498268127442,0.1,0.01818181818181818,0.5,0.1,84443600,1182210400,8689.114436388016,25,cifar10,quantity,0.1,10,43
15,2.305295049285889,0.1,0.01818181818181818,0.5,0.1,84443600,1266654000,8689.114436388016,25,cifar10,quantity,0.1,10,43
16,2.304363932800293,0.1,0.01818181818181818,0.5,0.1,84443600,1351097600,8689.114436388016,25,cifar10,quantity,0.1,10,43
17,2.304552515792847,0.1,0.01818181818181818,0.5,0.1,84443600,1435541200,8689.114436388016,25,cifar10,quantity,0.1,10,43
18,2.304374535369873,0.1,0.01818181818181818,0.5,0.1,84443600,1519984800,8689.114436388016,25,cifar10,quantity,0.1,10,43
19,2.304220325469971,0.1,0.01818181818181818,0.5,0.1,84443600,1604428400,8689.114436388016,25,cifar10,quantity,0.1,10,43
20,2.304413053894043,0.1,0.01818181818181818,0.5,0.1,84443600,1688872000,8689.114436388016,25,cifar10,quantity,0.1,10,43
21,2.3040314559936523,0.1,0.01818181818181818,0.5,0.1,84443600,1773315600,8689.114436388016,25,cifar10,quantity,0.1,10,43
22,2.304438505554199,0.1,0.01818181818181818,0.5,0.1,84443600,1857759200,8689.114436388016,25,cifar10,quantity,0.1,10,43
23,2.3039789077758788,0.1,0.01818181818181818,0.5,0.1,84443600,1942202800,8689.114436388016,25,cifar10,quantity,0.1,10,43
24,2.3044608669281006,0.1,0.01818181818181818,0.5,0.1,84443600,2026646400,8689.114436388016,25,cifar10,quantity,0.1,10,43
25,2.3039566711425783,0.1,0.01818181818181818,0.5,0.1,84443600,2111090000,8689.114436388016,25,cifar10,quantity,0.1,10,43
26,2.3044681392669677,0.1,0.01818181818181818,0.5,0.1,84443600,2195533600,8689.114436388016,25,cifar10,quantity,0.1,10,43
27,2.303949095916748,0.1,0.01818181818181818,0.5,0.1,84443600,2279977200,8689.114436388016,25,cifar10,quantity,0.1,10,43
28,2.3044709571838378,0.1,0.01818181818181818,0.5,0.1,84443600,2364420800,8689.114436388016,25,cifar10,quantity,0.1,10,43
29,2.3039462154388426,0.1,0.01818181818181818,0.5,0.1,84443600,2448864400,8689.114436388016,25,cifar10,quantity,0.1,10,43
30,2.3044721439361573,0.1,0.01818181818181818,0.5,0.1,84443600,2533308000,8689.114436388016,25,cifar10,quantity,0.1,10,43
31,2.3039450187683106,0.1,0.01818181818181818,0.5,0.0,84443600,2617751600,8689.114436388016,25,cifar10,quantity,0.1,10,43
