round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,proximal_mu,local_epochs,batch_size,seed
1,2.3077149311065672,0.0979,0.021649822421351224,0.4934059111111111,0.487,118221040,118221040,14795.895067691803,35,cifar10,quantity,0.5,0.01,5,64,45
2,1.5430239318847656,0.487,0.47041799123065,0.8887929222222223,0.6052,118221040,236442080,14795.895067691803,35,cifar10,quantity,0.5,0.01,5,64,45
3,1.112322702217102,0.6052,0.6005654048981569,0.9285499555555555,0.6516,118221040,354663120,14795.895067691803,35,cifar10,quantity,0.5,0.01,5,64,45
4,0.9849820446968078,0.6516,0.6494106568032862,0.94205795,0.6784,118221040,472884160,14795.895067691803,35,cifar10,quantity,0.5,0.01,5,64,45
5,0.9233638155937195,0.6784,0.6762174761418727,0.9486088277777778,0.6941,118221040,591105200,14795.895067691803,35,cifar10,quantity,0.5,0.01,5,64,45
6,0.8895484567642212,0.6941,0.6926934865633876,0.9526891333333334,0.7069,118221040,709326240,14795.895067691803,35,cifar10,quantity,0.5,0.01,5,64,45
7,0.8693940598487854,0.7069,0.7060476487241716,0.95559295,0.7128,118221040,827547280,14795.895067691803,35,cifar10,quantity,0.5,0.01,5,64,45
8,0.8551708971023559,0.7128,0.7122368027117781,0.9578354222222222,0.7216,118221040,945768320,14795.895067691803,35,cifar10,quantity,0.5,0.01,5,64,45
9,0.8504516355514526,0.7216,0.7213257468482479,0.9593489666666667,0.7237,118221040,1063989360,14795.895067691803,35,cifar10,quantity,0.5,0.01,5,64,45
10,0.8596357634544373,0.7237,0.7230676361814083,0.9602058888888889,0.7269,118221040,1182210400,14795.895067691803,35,cifar10,quantity,0.5,0.01,5,64,45
11,0.8673244386672974,0.7269,0.7260318089606229,0.961090011111111,0.7288,118221040,1300431440,14795.895067691803,35,cifar10,quantity,0.5,0.01,5,64,45
12,0.8800936773300171,0.7288,0.7280939653047986,0.9616998277777776,0.7315,118221040,1418652480,14795.895067691803,35,cifar10,quantity,0.5,0.01,5,64,45
13,0.9042937356948852,0.7315,0.7308343110020405,0.9617731055555556,0.7345,118221040,1536873520,14795.895067691803,35,cifar10,quantity,0.5,0.01,5,64,45
14,0.9258958408355713,0.7345,0.7335506921923208,0.9620371833333333,0.7337,118221040,1655094560,14795.895067691803,35,cifar10,quantity,0.5,0.01,5,64,45
15,0.9592859725952149,0.7337,0.7331832494769911,0.9619627722222222,0.7341,118221040,1773315600,14795.895067691803,35,cifar10,quantity,0.5,0.01,5,64,45
16,0.9864592864990235,0.7341,0.7332653024319077,0.9619097611111112,0.736,118221040,1891536640,14795.895067691803,35,cifar10,quantity,0.5,0.01,5,64,45
17,1.0181675695419312,0.736,0.7352501447825951,0.9617503944444443,0.7334,118221040,2009757680,14795.895067691803,35,cifar10,quantity,0.5,0.01,5,64,45
18,1.0543142669677734,0.7334,0.733150809201996,0.9612789999999999,0.7312,118221040,2127978720,14795.895067691803,35,cifar10,quantity,0.5,0.01,5,64,45
19,1.0761253761291505,0.7312,0.7314905361732942,0.9612128777777776,0.7338,118221040,2246199760,14795.895067691803,35,cifar10,quantity,0.5,0.01,5,64,45
20,1.1056460788726807,0.7338,0.7338623726449753,0.9612222666666668,0.7366,118221040,2364420800,14795.895067691803,35,cifar10,quantity,0.5,0.01,5,64,45
21,1.1262322204589843,0.7366,0.7354700632060285,0.9611887111111109,0.7334,118221040,2482641840,14795.895067691803,35,cifar10,quantity,0.5,0.01,5,64,45
22,1.150421918106079,0.7334,0.7324995590128419,0.9613163722222222,0.7354,118221040,2600862880,14795.895067691803,35,cifar10,quantity,0.5,0.01,5,64,45
23,1.1749668296813964,0.7354,0.734822551326795,0.9612649444444443,0.7328,118221040,2719083920,14795.895067691803,35,cifar10,quantity,0.5,0.01,5,64,45
24,1.1932924747467042,0.7328,0.7317921257705259,0.9611634055555556,0.7361,118221040,2837304960,14795.895067691803,35,cifar10,quantity,0.5,0.01,5,64,45
25,1.224315944671631,0.7361,0.7351936740349437,0.9607492277777776,0.7338,118221040,2955526000,14795.895067691803,35,cifar10,quantity,0.5,0.01,5,64,45
26,1.2304850925445556,0.7338,0.7328256212499809,0.9605740999999999,0.7309,118221040,3073747040,14795.895067691803,35,cifar10,quantity,0.5,0.01,5,64,45
27,1.2551924339294434,0.7309,0.7298391372991857,0.9607155777777777,0.7331,118221040,3191968080,14795.895067691803,35,cifar10,quantity,0.5,0.01,5,64,45
28,1.2755047409057618,0.7331,0.7324035314571591,0.9602887166666667,0.7345,118221040,3310189120,14795.895067691803,35,cifar10,quantity,0.5,0.01,5,64,45
29,1.2980960777282715,0.7345,0.733882198810027,0.9602464388888888,0.7335,118221040,3428410160,14795.895067691803,35,cifar10,quantity,0.5,0.01,5,64,45
30,1.3059254127502442,0.7335,0.7327883559080615,0.9605432666666666,0.7314,118221040,3546631200,14795.895067691803,35,cifar10,quantity,0.5,0.01,5,64,45
31,1.3213713466644288,0.7314,0.7307547709380389,0.9599895833333333,0.0,118221040,3664852240,14795.895067691803,35,cifar10,quantity,0.5,0.01,5,64,45
