round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,local_epochs,seed
1,2.298709703063965,0.1475,0.09507755834796576,0.55260295,0.3759,118221040,118221040,6277.648195505142,35,cifar10,quantity,0.1,1,43
2,1.7226594898223877,0.3759,0.3453236121074053,0.8350780333333333,0.3901,118221040,236442080,6277.648195505142,35,cifar10,quantity,0.1,1,43
3,1.9089305236816407,0.3901,0.33560011331442086,0.8717187,0.2438,118221040,354663120,6277.648195505142,35,cifar10,quantity,0.1,1,43
4,3.32287345161438,0.2438,0.16599293793961906,0.7839255388888888,0.3161,118221040,472884160,6277.648195505142,35,cifar10,quantity,0.1,1,43
5,2.5437425537109375,0.3161,0.2237715541169989,0.8460555277777779,0.2112,118221040,591105200,6277.648195505142,35,cifar10,quantity,0.1,1,43
6,3.4842190584182737,0.2112,0.16231192384481602,0.78260575,0.2478,118221040,709326240,6277.648195505142,35,cifar10,quantity,0.1,1,43
7,4.106088488006592,0.2478,0.1729259950767905,0.8043740111111113,0.2486,118221040,827547280,6277.648195505142,35,cifar10,quantity,0.1,1,43
8,5.030481330871582,0.2486,0.15265692218750523,0.7882614055555556,0.2641,118221040,945768320,6277.648195505142,35,cifar10,quantity,0.1,1,43
9,3.3625380451202393,0.2641,0.22274942597171793,0.8290250777777779,0.2996,118221040,1063989360,6277.648195505142,35,cifar10,quantity,0.1,1,43
10,3.140611763763428,0.2996,0.24590506736318263,0.8265622222222222,0.3794,118221040,1182210400,6277.648195505142,35,cifar10,quantity,0.1,1,43
11,2.705973819732666,0.3794,0.34490631392236576,0.8659965833333333,0.2846,118221040,1300431440,6277.648195505142,35,cifar10,quantity,0.1,1,43
12,3.204241817474365,0.2846,0.22888554388884802,0.8307499111111112,0.3415,118221040,1418652480,6277.648195505142,35,cifar10,quantity,0.1,1,43
13,3.260020635986328,0.3415,0.3025197970456007,0.86051925,0.308,118221040,1536873520,6277.648195505142,35,cifar10,quantity,0.1,1,43
14,3.2963995277404785,0.308,0.2578547384096964,0.8540233888888891,0.3404,118221040,1655094560,6277.648195505142,35,cifar10,quantity,0.1,1,43
15,3.064050929260254,0.3404,0.3215909880935845,0.8744332833333333,0.4074,118221040,1773315600,6277.648195505142,35,cifar10,quantity,0.1,1,43
16,2.4074979331970217,0.4074,0.35608272417429254,0.9011597722222223,0.3901,118221040,1891536640,6277.648195505142,35,cifar10,quantity,0.1,1,43
17,2.499320759963989,0.3901,0.37110131832252147,0.8904889777777777,0.455,118221040,2009757680,6277.648195505142,35,cifar10,quantity,0.1,1,43
18,2.1994299968719484,0.455,0.40250787990329834,0.9114727888888889,0.4235,118221040,2127978720,6277.648195505142,35,cifar10,quantity,0.1,1,43
19,2.291325124359131,0.4235,0.39668336702301776,0.8959091222222222,0.4893,118221040,2246199760,6277.648195505142,35,cifar10,quantity,0.1,1,43
20,2.104821646308899,0.4893,0.4339439653182205,0.9130660555555556,0.4347,118221040,2364420800,6277.648195505142,35,cifar10,quantity,0.1,1,43
21,2.478184076690674,0.4347,0.39335731657293826,0.892022827777778,0.479,118221040,2482641840,6277.648195505142,35,cifar10,quantity,0.1,1,43
22,2.262108836936951,0.479,0.4349685239575575,0.9035042333333333,0.3992,118221040,2600862880,6277.648195505142,35,cifar10,quantity,0.1,1,43
23,2.9962274436950684,0.3992,0.3542768517190725,0.8772927555555556,0.5023,118221040,2719083920,6277.648195505142,35,cifar10,quantity,0.1,1,43
24,2.4541165241241454,0.5023,0.4628947156725882,0.9070817166666666,0.3396,118221040,2837304960,6277.648195505142,35,cifar10,quantity,0.1,1,43
25,3.418599391937256,0.3396,0.3099295012674084,0.8628889333333334,0.525,118221040,2955526000,6277.648195505142,35,cifar10,quantity,0.1,1,43
26,2.451616397857666,0.525,0.47367304271568644,0.9137240277777778,0.4089,118221040,3073747040,6277.648195505142,35,cifar10,quantity,0.1,1,43
27,2.7441804023742677,0.4089,0.3800062097656026,0.8814125055555555,0.4919,118221040,3191968080,6277.648195505142,35,cifar10,quantity,0.1,1,43
28,2.7067910823822023,0.4919,0.4394020456232696,0.9052393833333333,0.414,118221040,3310189120,6277.648195505142,35,cifar10,quantity,0.1,1,43
29,2.907379597091675,0.414,0.37777549606128347,0.8773659722222222,0.4724,118221040,3428410160,6277.648195505142,35,cifar10,quantity,0.1,1,43
30,2.764807220840454,0.4724,0.43166455861535047,0.9036185888888889,0.4291,118221040,3546631200,6277.648195505142,35,cifar10,quantity,0.1,1,43
31,2.9354772483825684,0.4291,0.4008040707710422,0.8849294666666667,0.0,118221040,3664852240,6277.648195505142,35,cifar10,quantity,0.1,1,43
