round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,local_epochs,seed
1,2.29947508392334,0.1045,0.036501414715106956,0.5703879277777778,0.1382,118221040,118221040,2974.9229440689087,35,cifar10,label,0.1,1,46
2,2.5115814292907714,0.1382,0.06174015701659554,0.6623655888888889,0.216,118221040,236442080,2974.9229440689087,35,cifar10,label,0.1,1,46
3,2.256824366760254,0.216,0.1402813455229585,0.6848793777777777,0.2191,118221040,354663120,2974.9229440689087,35,cifar10,label,0.1,1,46
4,2.413603783416748,0.2191,0.12129216505344853,0.7331271833333333,0.2512,118221040,472884160,2974.9229440689087,35,cifar10,label,0.1,1,46
5,2.1546788812637327,0.2512,0.17252354031926384,0.7494381444444446,0.2478,118221040,591105200,2974.9229440689087,35,cifar10,label,0.1,1,46
6,2.3329557495117186,0.2478,0.1533634307102553,0.7653663222222222,0.2849,118221040,709326240,2974.9229440689087,35,cifar10,label,0.1,1,46
7,2.0770440887451174,0.2849,0.1956413375312355,0.7926212277777778,0.2733,118221040,827547280,2974.9229440689087,35,cifar10,label,0.1,1,46
8,2.18470096244812,0.2733,0.1853335806654451,0.7968704222222222,0.3058,118221040,945768320,2974.9229440689087,35,cifar10,label,0.1,1,46
9,2.032104742050171,0.3058,0.21772593694242728,0.8143573555555556,0.2825,118221040,1063989360,2974.9229440689087,35,cifar10,label,0.1,1,46
10,2.120096907043457,0.2825,0.19735520662002198,0.8173644944444444,0.3113,118221040,1182210400,2974.9229440689087,35,cifar10,label,0.1,1,46
11,1.9847779005050659,0.3113,0.22551037708311866,0.8287383333333332,0.3034,118221040,1300431440,2974.9229440689087,35,cifar10,label,0.1,1,46
12,2.0596035499572753,0.3034,0.21877124811511245,0.8302201666666665,0.3133,118221040,1418652480,2974.9229440689087,35,cifar10,label,0.1,1,46
13,1.964163908958435,0.3133,0.22655166611138103,0.838520611111111,0.3133,118221040,1536873520,2974.9229440689087,35,cifar10,label,0.1,1,46
14,2.0319642364501953,0.3133,0.2310733725039782,0.8399917944444445,0.3223,118221040,1655094560,2974.9229440689087,35,cifar10,label,0.1,1,46
15,1.9442014026641845,0.3223,0.23149610769884377,0.8450479611111111,0.3184,118221040,1773315600,2974.9229440689087,35,cifar10,label,0.1,1,46
16,2.0135184045791625,0.3184,0.23755492653300686,0.8477562333333333,0.3324,118221040,1891536640,2974.9229440689087,35,cifar10,label,0.1,1,46
17,1.9202091335296632,0.3324,0.23843328689859855,0.8518054722222222,0.3198,118221040,2009757680,2974.9229440689087,35,cifar10,label,0.1,1,46
18,2.0007536727905273,0.3198,0.23877873635486596,0.8538247999999999,0.3388,118221040,2127978720,2974.9229440689087,35,cifar10,label,0.1,1,46
19,1.909596234703064,0.3388,0.24519942424917157,0.8569829999999999,0.3246,118221040,2246199760,2974.9229440689087,35,cifar10,label,0.1,1,46
20,1.974924335861206,0.3246,0.24424525374994008,0.8583953555555557,0.3449,118221040,2364420800,2974.9229440689087,35,cifar10,label,0.1,1,46
21,1.8956243576049805,0.3449,0.25168338299418086,0.8622733111111112,0.3316,118221040,2482641840,2974.9229440689087,35,cifar10,label,0.1,1,46
22,1.947755753135681,0.3316,0.25211734059098223,0.8628249944444445,0.3494,118221040,2600862880,2974.9229440689087,35,cifar10,label,0.1,1,46
23,1.8732975463867187,0.3494,0.25753517602869735,0.8676611944444443,0.3434,118221040,2719083920,2974.9229440689087,35,cifar10,label,0.1,1,46
24,1.9159276124954223,0.3434,0.2635377584632726,0.8679670944444444,0.3594,118221040,2837304960,2974.9229440689087,35,cifar10,label,0.1,1,46
25,1.8296431564331055,0.3594,0.2699664128876361,0.8725814166666666,0.3506,118221040,2955526000,2974.9229440689087,35,cifar10,label,0.1,1,46
26,1.8799280853271485,0.3506,0.27193326278723684,0.8725938944444444,0.3705,118221040,3073747040,2974.9229440689087,35,cifar10,label,0.1,1,46
27,1.7956390439987182,0.3705,0.2829733213189294,0.8761721833333332,0.3561,118221040,3191968080,2974.9229440689087,35,cifar10,label,0.1,1,46
28,1.8542535339355468,0.3561,0.27929918618140315,0.8758201555555555,0.3751,118221040,3310189120,2974.9229440689087,35,cifar10,label,0.1,1,46
29,1.7715774843215943,0.3751,0.28917856851467955,0.8790753777777777,0.363,118221040,3428410160,2974.9229440689087,35,cifar10,label,0.1,1,46
30,1.8172727420806885,0.363,0.2872758525295048,0.879262838888889,0.3808,118221040,3546631200,2974.9229440689087,35,cifar10,label,0.1,1,46
31,1.755939268875122,0.3808,0.2981750424759539,0.8814716555555556,0.0,118221040,3664852240,2974.9229440689087,35,cifar10,label,0.1,1,46
