round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,local_epochs,seed
1,2.3077149311065672,0.0979,0.021649822421351224,0.4934059111111111,0.2455,118221040,118221040,21144.010905504227,35,cifar10,quantity,0.1,10,45
2,299.0420505615234,0.2455,0.1624798748940337,0.6099715611111111,0.0995,118221040,236442080,21144.010905504227,35,cifar10,quantity,0.1,10,45
3,429.93258681640623,0.0995,0.02100433956181026,0.4974218333333333,0.1174,118221040,354663120,21144.010905504227,35,cifar10,quantity,0.1,10,45
4,2.551235228347778,0.1174,0.07930164497781703,0.5484559666666666,0.1024,118221040,472884160,21144.010905504227,35,cifar10,quantity,0.1,10,45
5,113.71578054199219,0.1024,0.032525597800180356,0.5104110611111111,0.1013,118221040,591105200,21144.010905504227,35,cifar10,quantity,0.1,10,45
6,381.7260548828125,0.1013,0.03592576859573541,0.5077995277777778,0.1,118221040,709326240,21144.010905504227,35,cifar10,quantity,0.1,10,45
7,323.08855400390627,0.1,0.0182132774792824,0.49350733333333324,0.1013,118221040,827547280,21144.010905504227,35,cifar10,quantity,0.1,10,45
8,222.1495068359375,0.1013,0.021265414991023655,0.48919088888888895,0.1254,118221040,945768320,21144.010905504227,35,cifar10,quantity,0.1,10,45
9,355.73128291015627,0.1254,0.04147916491103225,0.5302615833333334,0.1001,118221040,1063989360,21144.010905504227,35,cifar10,quantity,0.1,10,45
10,2.932324584197998,0.1001,0.018403007968737888,0.5000890777777778,0.1,118221040,1182210400,21144.010905504227,35,cifar10,quantity,0.1,10,45
11,2.345968848800659,0.1,0.018183471224656786,0.5000555555555556,0.1006,118221040,1300431440,21144.010905504227,35,cifar10,quantity,0.1,10,45
12,2.4205888706207275,0.1006,0.019560756413904378,0.5057014777777777,0.1,118221040,1418652480,21144.010905504227,35,cifar10,quantity,0.1,10,45
13,53.467070764160155,0.1,0.01818181818181818,0.49820374999999995,0.0956,118221040,1536873520,21144.010905504227,35,cifar10,quantity,0.1,10,45
14,3.658498495864868,0.0956,0.022467277253493578,0.4962800444444445,0.1,118221040,1655094560,21144.010905504227,35,cifar10,quantity,0.1,10,45
15,2.317484730529785,0.1,0.01818181818181818,0.5,0.1,118221040,1773315600,21144.010905504227,35,cifar10,quantity,0.1,10,45
16,2.303200201416016,0.1,0.01818181818181818,0.5,0.1,118221040,1891536640,21144.010905504227,35,cifar10,quantity,0.1,10,45
17,2.303071774673462,0.1,0.01818181818181818,0.5,0.1,118221040,2009757680,21144.010905504227,35,cifar10,quantity,0.1,10,45
18,2.302891995239258,0.1,0.01818181818181818,0.5,0.1,118221040,2127978720,21144.010905504227,35,cifar10,quantity,0.1,10,45
19,2.3029900802612304,0.1,0.01818181818181818,0.5,0.1,118221040,2246199760,21144.010905504227,35,cifar10,quantity,0.1,10,45
20,2.302895750427246,0.1,0.01818181818181818,0.5,0.1,118221040,2364420800,21144.010905504227,35,cifar10,quantity,0.1,10,45
21,2.302924323272705,0.1,0.01818181818181818,0.5,0.1,118221040,2482641840,21144.010905504227,35,cifar10,quantity,0.1,10,45
22,2.3029087394714356,0.1,0.01818181818181818,0.5,0.1,118221040,2600862880,21144.010905504227,35,cifar10,quantity,0.1,10,45
23,2.3028848934173585,0.1,0.01818181818181818,0.5,0.1,118221040,2719083920,21144.010905504227,35,cifar10,quantity,0.1,10,45
24,2.302923129272461,0.1,0.01818181818181818,0.5,0.1,118221040,2837304960,21144.010905504227,35,cifar10,quantity,0.1,10,45
25,2.3028619606018066,0.1,0.01818181818181818,0.5,0.1,118221040,2955526000,21144.010905504227,35,cifar10,quantity,0.1,10,45
26,2.3029281875610352,0.1,0.01818181818181818,0.5,0.1,118221040,3073747040,21144.010905504227,35,cifar10,quantity,0.1,10,45
27,2.3028545764923094,0.1,0.01818181818181818,0.5,0.1,118221040,3191968080,21144.010905504227,35,cifar10,quantity,0.1,10,45
28,2.3029307518005373,0.1,0.01818181818181818,0.5,0.1,118221040,3310189120,21144.010905504227,35,cifar10,quantity,0.1,10,45
29,2.3028488708496093,0.1,0.01818181818181818,0.5,0.1,118221040,3428410160,21144.010905504227,35,cifar10,quantity,0.1,10,45
30,2.3029332771301267,0.1,0.01818181818181818,0.5,0.1,118221040,3546631200,21144.010905504227,35,cifar10,quantity,0.1,10,45
31,2.3028426719665527,0.1,0.01818181818181818,0.5,0.0,118221040,3664852240,21144.010905504227,35,cifar10,quantity,0.1,10,45
