round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,proximal_mu,local_epochs,batch_size,seed
1,2.301845955276489,0.0893,0.04861367622650547,0.5350526888888889,0.548,118221040,118221040,4072.5901567935944,35,cifar10,quantity,0.3,0.01,5,64,44
2,1.4335694999694824,0.548,0.5437884246314063,0.9019454999999998,0.6231,118221040,236442080,4072.5901567935944,35,cifar10,quantity,0.3,0.01,5,64,44
3,1.0848825430870057,0.6231,0.6191530230012046,0.9318369499999999,0.6623,118221040,354663120,4072.5901567935944,35,cifar10,quantity,0.3,0.01,5,64,44
4,0.9745659313201904,0.6623,0.6606470285024899,0.9432940333333333,0.6828,118221040,472884160,4072.5901567935944,35,cifar10,quantity,0.3,0.01,5,64,44
5,0.9097517898559571,0.6828,0.6808464148347264,0.9498209388888889,0.6955,118221040,591105200,4072.5901567935944,35,cifar10,quantity,0.3,0.01,5,64,44
6,0.8831506410598755,0.6955,0.6946230663097317,0.9534760666666667,0.7124,118221040,709326240,4072.5901567935944,35,cifar10,quantity,0.3,0.01,5,64,44
7,0.8699674962997437,0.7124,0.7117554285692693,0.9562432111111111,0.7113,118221040,827547280,4072.5901567935944,35,cifar10,quantity,0.3,0.01,5,64,44
8,0.8840451232910156,0.7113,0.7106087869355345,0.9572263944444444,0.7203,118221040,945768320,4072.5901567935944,35,cifar10,quantity,0.3,0.01,5,64,44
9,0.9053883169174194,0.7203,0.7203214125528138,0.9582451333333333,0.7188,118221040,1063989360,4072.5901567935944,35,cifar10,quantity,0.3,0.01,5,64,44
10,0.9439448810577392,0.7188,0.7187566868133252,0.9577955722222222,0.7214,118221040,1182210400,4072.5901567935944,35,cifar10,quantity,0.3,0.01,5,64,44
11,0.9872830535888671,0.7214,0.7209315787783316,0.9579810888888888,0.7172,118221040,1300431440,4072.5901567935944,35,cifar10,quantity,0.3,0.01,5,64,44
12,1.0397731609344483,0.7172,0.7174814672357729,0.9578773666666667,0.7188,118221040,1418652480,4072.5901567935944,35,cifar10,quantity,0.3,0.01,5,64,44
13,1.0726951738357544,0.7188,0.720073629602336,0.9580497333333333,0.7226,118221040,1536873520,4072.5901567935944,35,cifar10,quantity,0.3,0.01,5,64,44
14,1.1195260318756104,0.7226,0.7224755043926184,0.9583646333333334,0.7175,118221040,1655094560,4072.5901567935944,35,cifar10,quantity,0.3,0.01,5,64,44
15,1.1864930725097655,0.7175,0.7176779537172311,0.9578143222222224,0.7213,118221040,1773315600,4072.5901567935944,35,cifar10,quantity,0.3,0.01,5,64,44
16,1.2032888164520263,0.7213,0.7212382781922073,0.9573617499999999,0.7203,118221040,1891536640,4072.5901567935944,35,cifar10,quantity,0.3,0.01,5,64,44
17,1.2697054580688476,0.7203,0.7205115935847195,0.9577357666666668,0.7168,118221040,2009757680,4072.5901567935944,35,cifar10,quantity,0.3,0.01,5,64,44
18,1.3009971248626708,0.7168,0.7164976470271381,0.9566552277777778,0.7181,118221040,2127978720,4072.5901567935944,35,cifar10,quantity,0.3,0.01,5,64,44
19,1.3425162334442138,0.7181,0.7183975932320602,0.9569749388888888,0.7193,118221040,2246199760,4072.5901567935944,35,cifar10,quantity,0.3,0.01,5,64,44
20,1.3830130893707275,0.7193,0.7196199733396391,0.9569170888888887,0.7212,118221040,2364420800,4072.5901567935944,35,cifar10,quantity,0.3,0.01,5,64,44
21,1.417547621154785,0.7212,0.721180480079836,0.9574702833333333,0.7242,118221040,2482641840,4072.5901567935944,35,cifar10,quantity,0.3,0.01,5,64,44
22,1.4674175354003907,0.7242,0.7240145905692067,0.9570259944444445,0.7204,118221040,2600862880,4072.5901567935944,35,cifar10,quantity,0.3,0.01,5,64,44
23,1.5021094650268554,0.7204,0.7199109765758591,0.9569583444444445,0.7238,118221040,2719083920,4072.5901567935944,35,cifar10,quantity,0.3,0.01,5,64,44
24,1.571074455833435,0.7238,0.7233308931031353,0.9574447833333334,0.7244,118221040,2837304960,4072.5901567935944,35,cifar10,quantity,0.3,0.01,5,64,44
25,1.5836262424468994,0.7244,0.7231366616895379,0.9574056833333333,0.722,118221040,2955526000,4072.5901567935944,35,cifar10,quantity,0.3,0.01,5,64,44
26,1.642450531387329,0.722,0.7221244893353449,0.9564566722222223,0.719,118221040,3073747040,4072.5901567935944,35,cifar10,quantity,0.3,0.01,5,64,44
27,1.6875884479522705,0.719,0.7196149933694487,0.9561641555555556,0.7194,118221040,3191968080,4072.5901567935944,35,cifar10,quantity,0.3,0.01,5,64,44
28,1.7100510526657104,0.7194,0.7203555710782105,0.9564533888888889,0.7164,118221040,3310189120,4072.5901567935944,35,cifar10,quantity,0.3,0.01,5,64,44
29,1.679158056640625,0.7164,0.7166981843320382,0.9556967666666667,0.718,118221040,3428410160,4072.5901567935944,35,cifar10,quantity,0.3,0.01,5,64,44
30,1.7649401865005494,0.718,0.7180288604940015,0.9559927222222221,0.7233,118221040,3546631200,4072.5901567935944,35,cifar10,quantity,0.3,0.01,5,64,44
31,1.7596568157196044,0.7233,0.7225219082030744,0.9567131777777778,0.0,118221040,3664852240,4072.5901567935944,35,cifar10,quantity,0.3,0.01,5,64,44
