epoch,train_loss,test_loss,test_accuracy,test_f1,test_auc,elapsed_sec
0,,2.3031333744049074,0.0971,0.028315872685210262,0.51458915,3.4311115741729736
1,1.3447871130561828,1.0378496320724486,0.6304,0.6221441233929446,0.9374550055555556,31.811118125915527
2,0.9648498236656189,0.8939221621513367,0.6879,0.6832387161589992,0.9520851,63.3962824344635
3,0.8285954262161255,0.8271627487182617,0.714,0.7128644865077275,0.958446522222222,93.50095844268799
4,0.7465119460487366,0.8247157535552978,0.7169,0.7137666062593584,0.9605866222222224,124.47576260566711
5,0.6727599839019776,0.7880262988090515,0.7347,0.7339304373565261,0.9633698888888889,155.02854657173157
6,0.6113097285461426,0.7970286471366882,0.7336,0.7316200780578734,0.9640475000000001,185.74313712120056
7,0.5580877677822113,0.7625932824134827,0.7479,0.747399958536519,0.9660129833333334,216.9910819530487
8,0.5128698659324646,0.7791053250312805,0.7492,0.7447962896823735,0.9659735611111111,266.8391869068146
9,0.46315262804985047,0.7881375817298889,0.7495,0.747331006318917,0.9657428777777778,337.0929219722748
10,0.4281667601394653,0.7811961832046509,0.7551,0.7553348662274514,0.9676089611111112,410.93990111351013
11,0.38532079195022584,0.8179688126564025,0.7512,0.7492916512412964,0.9665317,481.110032081604
12,0.3537002952861786,0.8934279680252075,0.7384,0.7376842114682935,0.9649542499999999,547.3532586097717
13,0.3192299955224991,0.9082118147850037,0.7442,0.7454892121541306,0.9653786777777776,615.7375674247742
14,0.28977496779441836,0.9741739837646485,0.7401,0.7385422616866903,0.963191011111111,682.7900953292847
15,0.2623309570503235,0.9953782655715943,0.7406,0.7426163498663243,0.9637598777777778,749.6014387607574
16,0.2363266550886631,1.0077524242401124,0.7487,0.74759750846187,0.9652823777777778,816.2497296333313
17,0.1435351895582676,1.0663323306083679,0.7553,0.7570518168628797,0.96666405,883.6834080219269
18,0.11898139388263225,1.1307126050949097,0.7539,0.7535449543790728,0.9658810555555556,950.6188156604767
19,0.10464896785616874,1.2007680519104005,0.7518,0.7520155770089425,0.9661012722222221,1018.4205143451691
20,0.09282380768179893,1.2604895586013793,0.7505,0.7493271958120269,0.9647488666666666,1087.3620393276215
21,0.08123772887289524,1.3607303627967835,0.7455,0.7432116646837275,0.96352365,1155.3977589607239
22,0.07283384604752063,1.3964784873008729,0.743,0.7422738332994698,0.9635472888888887,1223.1739871501923
23,0.06500614673197269,1.478589161491394,0.7421,0.7416896690580468,0.9632695555555555,1290.1617951393127
24,0.03304610321998596,1.5232641193389893,0.7511,0.751812294906554,0.964925738888889,1356.1525747776031
25,0.024679784097075462,1.5718103860855102,0.7518,0.7523321860701111,0.9651679666666668,1424.0825624465942
26,0.02151415209978819,1.6434174766540528,0.753,0.7531046134674257,0.9651460111111112,1489.420783996582
27,0.019244929573833943,1.7091133964538574,0.7509,0.7509781968311338,0.9648456666666666,1557.7518479824066
28,0.017262458769977094,1.7335715945243835,0.7467,0.7470311469519415,0.9639360888888889,1624.7317552566528
29,0.016525686471164227,1.839585217475891,0.7487,0.7486903608115697,0.9644443222222222,1692.768339395523
30,0.008635615984648466,1.8325782331466676,0.752,0.7522281796998876,0.9650937555555554,1759.0855867862701
31,0.006539533387124538,1.8936260095596313,0.7496,0.7502972937767235,0.9646972333333335,1826.4492800235748
32,0.005691331315338612,1.9245095943450927,0.7487,0.7490046262705337,0.9646459000000001,1893.7483286857605
33,0.005027945464551449,1.9819428886413575,0.7537,0.7540282440072367,0.9646367666666669,1962.0151996612549
34,0.004478594049364328,2.039076064682007,0.751,0.7515483442830414,0.9645101500000001,2029.4037466049194
35,0.0035964884216338395,2.0980332288742067,0.749,0.7499197790713219,0.9643332111111113,2093.0776607990265
36,0.002609573104381561,2.1138393297195432,0.7522,0.7524045047114203,0.9646180222222223,2125.0116486549377
37,0.002303800484985113,2.154193943786621,0.7518,0.7518008267855514,0.964579588888889,2156.3469507694244
38,0.00210946260612458,2.1879792726516722,0.7516,0.7520990437139911,0.9646000499999999,2186.6292288303375
39,0.0018849857679381966,2.220392056655884,0.7516,0.7519758936298473,0.9645092111111111,2216.4567263126373
40,0.001703991904333234,2.255573724937439,0.7506,0.750865693778388,0.9645092999999999,2250.2997324466705
41,0.0014824821483157575,2.2971859842300417,0.7518,0.7517045490219934,0.9645437055555556,2280.799944639206
42,0.0011928123090416192,2.3312274881362915,0.7511,0.7514354863027914,0.9644139722222222,2314.0664200782776
43,0.0011048021550104023,2.355105111885071,0.7512,0.7515896274304613,0.9644404777777777,2362.1858627796173
44,0.0010345232000388204,2.3808085750579835,0.7495,0.7498994535995928,0.9643932611111111,2431.661834716797
45,0.0009619338813610375,2.4044402767181396,0.7512,0.751452493612743,0.9644118777777777,2499.3750443458557
46,0.0008887997304834425,2.426861626625061,0.7511,0.7513892277889148,0.9642737277777778,2567.523241519928
47,0.0008190665530227125,2.4541794006347657,0.7508,0.7509172694503453,0.9642522,2637.032606601715
48,0.0007205806130357086,2.471231233406067,0.7521,0.752123157118453,0.9643587888888889,2704.778395175934
49,0.0006874977583810687,2.4850914415359497,0.751,0.7513075379530738,0.9643482222222224,2774.564506292343
50,0.0006600152543280274,2.4997283796310423,0.7505,0.750649421428243,0.9642679555555557,2844.558342218399
