algorithm,optimizer,final_accuracy_mean,final_accuracy_std,best_accuracy_mean,best_accuracy_std,f1_mean,f1_std,auc_mean,auc_std
fedavg,adam,0.6231910714285714,0.09140694478645925,0.6317803571428572,0.09499079078739997,0.6110236592670774,0.10749502974339784,0.9280556548611111,0.02874797586861765
fedavg,sgd,0.6760625,0.06910265526219463,0.6849875,0.059616427206409646,0.6728499944714007,0.07193733876991562,0.9464789875,0.01573228051279478
fednova,adam,0.3627214285714286,0.2021200882592378,0.46275714285714287,0.127472670664083,0.31784240389165513,0.22759805249731654,0.7909338703373016,0.14200741545536436
fednova,sgd,0.3024625,0.2028503314374559,0.5473625,0.0594467333597302,0.25294048666047975,0.2272603255820702,0.5943002569444444,0.3962646314020852
fedprox,adam,0.6592546875,0.07146086048217701,0.6625515625,0.07245111760327981,0.6516036718667981,0.08102114340181468,0.9399788730034723,0.022837993092593947
fedprox,sgd,0.6535625,0.07708121760288209,0.6555,0.07614187884656981,0.6470269309358239,0.0828284021085955,0.938561575,0.02018114676147415
