algorithm,optimizer,final_accuracy,best_accuracy,final_f1,final_auc
fednova,adam,0.6651,0.6651,0.6606270926990366,0.944666338888889
fednova,adam,0.688,0.688,0.6820792318854723,0.950314427777778
fednova,adam,0.2784,0.4883,0.2155789771000354,0.7424279444444444
fednova,adam,0.1439,0.3361,0.0603052816612733,0.6058580222222223
fednova,adam,0.1646,0.3745,0.0908878679036856,0.6557919777777778
fednova,adam,0.1,0.3236,0.0181818181818181,0.5
fednova,adam,0.4291,0.525,0.4008040707710422,0.8849294666666667
fednova,adam,0.1712,0.3989,0.1038610282737468,0.7379264611111112
fednova,adam,0.2953,0.388,0.2119232328106456,0.7980452055555556
fednova,adam,0.1333,0.2725,0.0762839974993524,0.6238624611111111
fednova,adam,0.1,0.4142,0.0181818181818181,0.5
fednova,adam,0.1982,0.3432,0.1145032971166605,0.6748895277777778
fednova,adam,0.1,0.2355,0.0181818181818181,0.5
fednova,adam,0.1135,0.3073,0.0406404856534973,0.6052949944444445
fednova,adam,0.3814,0.3911,0.308441629878144,0.8627145388888889
fednova,adam,0.1436,0.3736,0.0824659262000163,0.6424205166666667
fednova,adam,0.2085,0.3494,0.1427030269401033,0.7253886777777778
fednova,adam,0.1023,0.3049,0.0248560067842454,0.5239489555555555
fednova,adam,0.1587,0.404,0.08454597003283,0.6913841722222223
fednova,adam,0.2908,0.4196,0.2449211401276447,0.7993195777777777
fednova,adam,0.1789,0.3305,0.1394812485093907,0.7499941166666666
fednova,adam,0.1481,0.375,0.0649272623265741,0.6758229499999999
fedprox,adam,0.5419,0.5419,0.4997607861156898,0.9218839555555556
fedprox,adam,0.575,0.575,0.5423117194586489,0.9092979111111112
fedprox,adam,0.6188,0.6224,0.6076773539432067,0.9296111444444446
fedprox,adam,0.6156,0.6156,0.603487038641396,0.9308095444444444
fedprox,adam,0.7329,0.7329,0.7315564566399686,0.9602363277777776
fedprox,adam,0.4023,0.409,0.3934900497085274,0.8161117222222222
fedprox,adam,0.7063,0.7221,0.7068199761875285,0.95562395
fedprox,adam,0.7288,0.7328,0.7300314886546821,0.9591228611111112
fedprox,adam,0.6084,0.611,0.5882414520003781,0.9302792722222222
fedprox,adam,0.6506,0.655,0.6409937888166369,0.939736711111111
fedprox,adam,0.5854,0.5894,0.5808495279459611,0.9250259
fedprox,adam,0.6027,0.6027,0.5668738634160888,0.9225833388888888
fedprox,adam,0.7096,0.7188,0.7096594133324178,0.953886977777778
fedprox,adam,0.7201,0.7237,0.719492659480885,0.9570557888888892
fedprox,adam,0.7355,0.7428,0.7357936757961955,0.9609053111111112
fedprox,adam,0.6843,0.6893,0.6837975372031107,0.9420219722222224
fedprox,adam,0.6156,0.6156,0.6046651487403736,0.9314065833333334
fedprox,adam,0.6573,0.6573,0.650009023579918,0.9385971
fedprox,adam,0.5587,0.5596,0.5443295904892025,0.9135658888888888
fedprox,adam,0.5861,0.5891,0.5607279913918088,0.9213539166666668
fedprox,adam,0.5148,0.5148,0.4833013506635687,0.90822205
fedprox,adam,0.4516,0.4516,0.4149617558342432,0.8877370722222221
fedprox,adam,0.5433,0.5433,0.5177557124901915,0.9076868666666666
fedprox,adam,0.5254,0.5254,0.4747443340422396,0.9051900388888888
fedprox,adam,0.6485,0.6485,0.6420485715825438,0.9377026555555557
fedprox,adam,0.6196,0.6196,0.6058533876594808,0.9338160777777776
fedprox,adam,0.6325,0.6372,0.6331597730885686,0.9346233944444444
fedprox,adam,0.5752,0.5758,0.5479408068131393,0.913493388888889
fedprox,adam,0.6642,0.6642,0.6607245109435362,0.94338715
fedprox,adam,0.6731,0.6745,0.6701193523213812,0.9449170055555556
fedprox,adam,0.6603,0.6603,0.6565924504813332,0.9434902055555556
fedprox,adam,0.6768,0.6781,0.671046379615642,0.946547
fedprox,adam,0.6791,0.6795,0.6750632538704224,0.9472191277777776
fedprox,adam,0.6845,0.6846,0.6832636131908816,0.9490347333333334
fedprox,adam,0.68,0.6815,0.6763330508866984,0.9490509333333332
fedprox,adam,0.6736,0.674,0.6677752141681581,0.9445084222222222
fedprox,adam,0.6943,0.6951,0.6937080032426417,0.9508257833333332
fedprox,adam,0.6665,0.6666,0.664789152371468,0.9439598444444446
fedprox,adam,0.6928,0.6929,0.690507292883108,0.9506700555555556
fedprox,adam,0.6696,0.6774,0.6641293690502356,0.9436878166666668
fedprox,adam,0.7351,0.7393,0.7340319887078748,0.9596427166666668
fedprox,adam,0.7146,0.7267,0.7144624215940769,0.9550237222222222
fedprox,adam,0.7109,0.7124,0.7109545641362548,0.9530483166666668
fedprox,adam,0.7348,0.7428,0.7341158429061052,0.9596439944444444
fedprox,adam,0.6935,0.6935,0.693996770427362,0.9524039055555557
fedprox,adam,0.6756,0.6879,0.6720956520673833,0.94534335
fedprox,adam,0.6491,0.6778,0.650963157690043,0.94143705
fedprox,adam,0.6939,0.6984,0.6893340378049395,0.95038825
fedprox,adam,0.704,0.7075,0.7023909507324462,0.952106811111111
fedprox,adam,0.6238,0.6262,0.6216880935371957,0.9231671833333334
fedprox,adam,0.7028,0.7084,0.7012837444586227,0.9504118388888888
fedprox,adam,0.744,0.744,0.7440147153125901,0.9626290055555556
fedprox,adam,0.72,0.7229,0.7189863117810013,0.9555513
fedprox,adam,0.7233,0.7244,0.7225219082030744,0.9567131777777778
fedprox,adam,0.6961,0.7052,0.6959603631455272,0.9513036888888888
fedprox,adam,0.698,0.7008,0.6975837251684961,0.9482144388888888
fedprox,adam,0.7151,0.7165,0.714463888722337,0.9536815611111112
fedprox,adam,0.7144,0.7165,0.7133701016336549,0.9543005
fedprox,adam,0.7024,0.7037,0.7016601721656002,0.9524087277777776
fedprox,adam,0.7152,0.7182,0.7142331748238779,0.9554648611111112
fedprox,adam,0.6971,0.6988,0.6967389856417465,0.9506719388888888
fedprox,adam,0.7314,0.7366,0.7307547709380389,0.9599895833333332
fedprox,adam,0.7045,0.7114,0.7036079203365462,0.9520867444444444
fedprox,adam,0.7311,0.7325,0.7290358607981814,0.9581294055555556
fedavg,sgd,0.5884,0.6113,0.5762386766743793,0.9293654444444444
fedavg,sgd,0.6375,0.6484,0.6275089058288174,0.9382338888888888
fedavg,sgd,0.6478,0.6509,0.6482931274425126,0.9379716833333334
fedavg,sgd,0.592,0.6214,0.591076092350715,0.9265593
fedavg,sgd,0.7001,0.7018,0.6996851033728142,0.949674438888889
fedavg,sgd,0.7309,0.7322,0.7298566664377053,0.9592801277777776
fedavg,sgd,0.7612,0.7612,0.7603110766271366,0.9680589722222224
fedavg,sgd,0.7506,0.7527,0.749830307037125,0.9626880444444444
fednova,sgd,0.5009,0.5633,0.4676406348802215,0.9051431166666668
fednova,sgd,0.5661,0.5661,0.5384629557999757,0.9250023944444444
fednova,sgd,0.4253,0.5253,0.3975214640195658,0.8880838888888889
fednova,sgd,0.4566,0.4914,0.4341767166836156,0.8929908333333334
fednova,sgd,0.1708,0.5463,0.1311766673550052,0.6431818222222223
fednova,sgd,0.1,0.4561,0.0181818181818181,0.0
fednova,sgd,0.1,0.5766,0.0181818181818181,0.0
fednova,sgd,0.1,0.6538,0.0181818181818181,0.5
fedprox,sgd,0.5649,0.5758,0.5409075316368543,0.9247749777777778
fedprox,sgd,0.598,0.598,0.5931457054518969,0.9233220888888892
fedprox,sgd,0.5962,0.5962,0.5897522186663393,0.9211373833333332
fedprox,sgd,0.6319,0.6319,0.6179228131048518,0.9327339722222222
fedprox,sgd,0.6941,0.6954,0.6935445223621113,0.9488197888888892
fedprox,sgd,0.761,0.7624,0.760521618763517,0.9669625166666668
fedprox,sgd,0.7649,0.7668,0.7642283499577306,0.9686786166666668
fedprox,sgd,0.6175,0.6175,0.6161926875432899,0.9220632555555556
